ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,公開分享,只要公開展示你的獸欄，就可以在獸欄中額外豢養五匹坐騎。,0,0,0,132224,100,0
3,坐騎商,一名稀有坐騎商在你要塞的獸欄開店了。,0,1,0,413588,5,0
7,召回傳送門,你可以馬上結束當前的任務，並召回追隨者。,0,5,0,511651,0,0
8,人才招募,針對10種材料，招募具有指定特長、技能，或角色類型的追隨者。,0,6,0,134149,0,0
9,黑石大廚,開啟要塞每日烹飪任務。,0,6,0,236571,0,0
11,礦車,額外的礦工會替你的礦車裝滿礦物和其他奇怪的東西。,0,7,3,961629,0,0
12,果園,在要塞內建造果園，可以生產稀有的水果。,9,7,0,133977,0,0
13,精緻剝皮小刀,每小時取得皮革的速度提高10%,0,7,0,924154,0,0
22,碎石者,打碎採礦時收集到的廢棄岩石以取得額外材料，可用於鋪路和製造水泥等等。,0,7,3,135236,0,0
23,群體傳送術,針對需要五名追隨者的任務，每天可以免除其旅行時間一次。,0,5,0,413583,0,0
24,城市旅行,除了奧格瑪和暴風城之外，開啟可以傳送至其他城市的傳送門。,0,5,0,135744,0,0
25,機械採集者,自動從草藥園中採集草藥。,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,黑石礦,在貨物中提供更多黑石礦石。,0,3,0,0,0,0
28,真鐵礦,在貨物中提供更多真鐵礦石。,0,3,0,0,0,0
31,漁貨,每天將新鮮漁貨宅配到釣屋中！,0,6,3,970842,0,0
32,釣魚餌,在要塞水域中釣魚時，大幅提高找到魚餌的機率。,0,6,3,970852,0,0
33,穴居魚類,使你有機會在要塞水域中釣起霜淵小鯉。可以用來召喚霜淵穴居者。,0,6,3,970814,0,0
34,學生實驗室,你的鍊金實驗室招收學生，每天在課程中會製造一些藥劑。,0,6,3,413574,0,0
35,轉化,這間實驗室專精於物質可轉化的特性，可以增加每天生產的變形水晶總量。,0,6,3,967514,0,0
36,藥劑,實驗室精於化學反應的催化，提高每天可以生產的鍊金催化劑數量。,0,6,3,967512,0,0
37,強化戰鬥的號角,你的戰鬥的號角技能可以強化你的部隊，造成更多傷害。,0,6,3,975738,0,0
38,急救,召喚急救護士NPC，每天供應治療藥水和繃帶。,0,6,3,135966,0,0
39,牢獄,有機會抓到小偷。為了償還罪行，他們會繳交罰款並提供有用的資訊。,0,6,3,136058,0,0
40,礦場守衛,礦場守衛會在礦場巡邏，確保有敵意的戈倫不會入侵。,0,6,3,132110,0,0
41,大量購買,降低購買建築物和更改特殊能力的花費。,0,6,3,132761,0.5,0
