ID,Title_lang,GarrTypeID,ClassID,MaxTiers,UiOrder,Flags,UiTextureKitID,GarrTalentTreeType,PlayerConditionID,FeatureTypeIndex,FeatureSubtypeIndex,CurrencyID
4,,3,10,7,0,0,0,0,0,0,0,0
31,,3,7,7,0,0,0,0,0,0,0,0
107,,3,11,7,0,0,0,0,0,0,0,0
110,,3,9,7,0,0,0,0,0,0,0,0
113,,3,3,7,0,0,0,0,0,0,0,0
116,,3,8,7,0,0,0,0,0,0,0,0
119,,3,2,7,0,0,0,0,0,0,0,0
122,,3,1,7,0,0,0,0,0,0,0,0
125,,3,12,7,0,0,0,0,0,0,0,0
128,,3,6,7,0,0,0,0,0,0,0,0
131,,3,4,7,0,0,0,0,0,0,0,0
134,,3,5,7,0,0,0,0,0,0,0,0
150,,111,0,8,0,0,0,1,0,0,0,0
151,,3,0,7,0,0,253,0,0,0,0,0
152,戰爭研究,9,0,6,0,1,0,0,0,0,0,0
153,戰爭研究,9,0,6,0,1,0,0,0,0,0,0
260,Visions Research [NYI],9,0,6,0,0,253,0,0,0,0,0
263,母親大人的研究 - 單人,9,0,4,0,0,253,0,0,0,0,0
264,母親大人的研究 - 團隊,9,0,4,0,0,253,0,0,0,0,0
265,母親大人的研究 - 賭徒,9,0,2,0,0,253,0,0,0,0,0
266,母親大人的研究 - 速度,9,0,2,0,0,253,0,0,0,0,0
267,母親大人的研究 - 探險者,9,0,3,0,0,253,0,0,0,0,0
268,母親大人的研究 - 里程碑,9,0,2,0,0,253,1,0,0,0,0
271,母親大人的研究,9,0,6,0,0,5273,1,0,0,0,1719
272,『霧刃』娜迪亞,111,0,5,0,0,253,1,0,6,0,0
275,織夢者,111,0,12,0,16,0,0,79281,6,3,0
276,妮亞,111,0,12,0,16,0,0,79279,6,3,0
304,德瑞文將軍,111,0,12,0,16,0,0,79288,6,2,0
307,傳送網路,111,0,3,0,16,0,0,0,2,3,0
308,傳送網路,111,0,3,0,16,5283,0,0,2,1,0
309,傳送網路,111,0,3,0,16,0,0,0,2,2,0
310,運輸網路,111,0,3,0,16,0,0,0,2,4,0
311,靈魄傳導器,111,0,3,0,16,0,0,0,1,3,0
312,靈魄傳導器,111,0,3,0,16,5283,0,0,1,1,0
313,靈魄傳導器,111,0,3,0,16,0,0,0,1,4,0
314,靈魄傳導器,111,0,3,0,16,0,0,0,1,2,0
315,指揮桌,111,0,3,0,16,0,0,0,3,3,0
316,指揮桌,111,0,3,0,16,5283,0,0,3,1,0
317,指揮桌,111,0,3,0,16,0,0,0,3,2,0
318,指揮桌,111,0,3,0,16,0,0,0,3,4,0
319,女王的栽培園,111,0,5,0,16,0,0,0,5,3,0
320,晉升之路,111,0,5,0,16,5283,0,0,5,1,0
321,憎惡體工廠,111,0,5,0,16,0,0,0,5,4,0
324,餘燼宴會,111,0,5,0,0,0,1,0,5,2,0
325,瘟疫設計者瑪利雷斯,111,0,12,0,16,0,0,79284,6,4,0
326,瑞文崔斯 - 貯存池升級,111,0,3,0,16,5285,0,0,4,2,0
327,昇靈堡 - 貯存池升級,111,0,3,0,16,5283,0,0,4,1,0
328,亞登曠野 - 貯存池升級,111,0,3,0,16,5305,0,0,4,3,0
329,瑪卓薩斯 - 貯存池升級,111,0,3,0,16,5287,0,0,4,4,0
330,艾曼妮,111,0,12,0,16,0,0,79285,6,4,0
334,克芮恩,111,0,12,0,16,0,0,79283,6,3,0
335,Chris Test Tree Set,3,0,2,0,0,0,0,0,0,0,0
345,引導靈魄,111,0,1,0,0,5283,1,0,7,1,0
346,引導靈魄,111,0,1,0,0,5305,1,0,7,3,0
347,引導靈魄,111,0,1,0,0,5287,1,0,7,4,0
348,引導靈魄,111,0,1,0,0,5285,1,0,7,2,0
349,骸骨工匠黑彌爾,111,0,12,0,16,0,0,81502,6,4,0
357,佩拉苟斯,111,0,12,0,16,0,0,81504,6,1,0
360,克蕾雅,111,0,12,0,16,0,0,81505,6,1,0
365,米卡尼寇斯,111,0,12,0,16,0,0,81506,6,1,0
368,『霧刃』娜迪亞,111,0,12,0,16,0,0,81503,6,2,0
392,瘋狂公爵希奧塔,111,0,12,0,16,0,0,83261,6,2,0
393,昇靈堡 - 誓盟技能,111,0,2,0,0,5283,1,0,0,1,0
395,瑪卓薩斯 - 誓盟技能,111,0,2,0,0,5287,1,0,0,4,0
396,瑞文崔斯 - 誓盟技能,111,0,2,0,0,5279,1,0,0,2,0
397,亞登曠野 - 誓盟技能,111,0,2,0,0,5301,1,0,0,3,0
461,萬應寶盒,111,0,6,0,4,5400,1,0,0,0,1904
463,飛龍精通進度,111,0,9,0,0,0,0,0,0,0,42
465,裝置升級控制臺,111,0,3,0,0,253,1,0,0,0,1979
466,創先者核心,111,0,4,0,0,5273,1,0,0,0,1979
467,飛龍精通進度,111,0,3,0,0,0,1,0,0,0,0
468,創先者核心JZB,9,0,7,0,0,5273,0,0,0,0,1979
474,暗語研究控制臺,111,0,7,0,12,5415,1,0,8,0,1979
476,波克波可自訂,111,0,6,0,0,5419,0,0,0,0,0
479,雷霆蜥蜴肖像,111,0,3,0,0,5166,1,0,0,0,2011
482,飛龍騎術技能,111,0,9,0,0,5273,1,0,0,0,0
483,怪物獵人的裝備架,111,0,5,0,0,5419,0,0,0,0,0
484,進階飛龍騎術,111,0,9,0,0,0,1,0,0,0,2045
485,席卡狩獵戰術,111,0,4,0,0,5415,1,0,0,0,2003
486,選擇你的夥伴,111,0,2,0,0,5487,0,0,0,0,2003
487,蹄萊氏族遊戲進度,111,0,4,0,0,5419,1,0,0,0,0
488,巨牙海民釣魚,111,0,5,0,0,5415,1,0,0,0,0
489,遠征隊物資,111,0,6,0,0,5481,1,99463,0,0,2003
