ID,BaseTag,TagText_lang,Flags
9597,BUG_BUTTON,Bug及建議,1
9598,CHARACTER_BUTTON,角色資訊,1
9599,MAINMENU_BUTTON,遊戲選項,3
9600,QUESTLOG_BUTTON,任務紀錄,1
9601,SPELLBOOK_BUTTON,法術書,1
9602,BACKPACK_TOOLTIP,背包,5
9603,INVENTORY_TOOLTIP,物品欄,5
9605,MELEE_ATTACK,近戰攻擊,1
9606,ATTACK_SPEED_SECONDS,攻擊速度(秒),1
9607,UNSPENT_TALENT_POINTS,未配置天賦：%s,1
9610,DAMAGE_BONUS_TOOLTIP,增加武器傷害,1
9613,EXPERIENCE_COLON,經驗值：,1
9614,GUILD_TEMPLATE,%2$s-%1$s,1
9615,HEALTH_COLON,生命力：,1
9616,INTELLECT_COLON,智力：,1
9617,DEFENSE_TOOLTIP,防禦,1
9618,MAGIC_RESISTANCES_COLON,魔法抗性：,1
9619,MANA_COLON,法力：,1
9620,MODIFIERS_COLON,管理員：,1
9621,PLAYER_LEVEL,等級%s|c%s%s%s|r,1
9622,PROFICIENCIES_COLON,精通：,1
9623,SPIRIT_COLON,精神：,1
9625,REPUTATION,聲望,5
9626,RESISTANCE0_NAME,護甲,1
9627,RESISTANCE1_NAME,神聖抗性,5
9628,RESISTANCE2_NAME,火焰抗性,5
9629,RESISTANCE3_NAME,自然抗性,5
9630,RESISTANCE4_NAME,冰霜抗性,5
9633,STRENGTH_COLON,力量：,1
9634,TITLE_TEMPLATE,%2$s-%1$s,1
9635,CONTAINER_SLOTS,%d格%s,1
9636,EQUIP_CONTAINER,裝備容器,1
9637,HEADSLOT,頭部,1
9638,NECKSLOT,頸部,1
9639,SHOULDERSLOT,肩部,1
9640,BACKSLOT,背部,1
9641,SHIRTSLOT,襯衣,1
9642,CHESTSLOT,胸部,1
9643,WAISTSLOT,腰部,1
9644,LEGSSLOT,腿部,1
9645,FEETSLOT,腳,1
9646,WRISTSLOT,手腕,1
9647,HANDSSLOT,手,1
9648,FINGER1SLOT,手指,1
9649,TRINKET0SLOT,飾品,1
9650,TRINKET1SLOT,飾品,1
9651,MAINHANDSLOT,主手,1
9652,SECONDARYHANDSLOT,副手,1
9653,RANGEDSLOT,遠程,1
9654,BAGSLOT,背包,1
9655,INVTYPE_HEAD,頭部,5
9656,INVTYPE_NECK,頸部,5
9657,INVTYPE_BODY,襯衣,5
9658,INVTYPE_CHEST,胸部,5
9659,INVTYPE_LEGS,腿部,5
9660,INVTYPE_FEET,腳,5
