ID,Name_lang
1,Test Exclusive Category
4,反魔法護罩
5,冰鍊術
6,樹皮術
7,獵豹形態
8,蝕星蔽月
9,變身大師
10,旅行形態
11,冰凍陷阱
12,寒冰陷阱
13,法術反制
14,寒冰屏障
15,狂拳連打
16,迅空翻
17,奉獻
18,自由聖禦
19,審判
20,影散
21,守護聖靈
22,虔信之躍
23,救贖之靈
24,漸隱術
25,閃避
26,消失
27,野性之魂
28,鬼魂之狼
29,根基圖騰
30,閃電之盾
31,薩滿之怒
32,靈行者之賜
33,生命分流
34,心志堅定
35,英勇打擊
36,劍下亡魂
37,英勇躍擊
38,狂怒之擊
39,盾牆
40,死者復生
41,水元素
42,變形術外觀
43,復仇之怒
44,心靈震爆
45,偽裝
46,逃脫
47,治療寵物
48,威懾
49,豹群守護
50,閃現術
51,斗轉星移
52,回生迷霧
53,榮耀聖言
54,復仇之盾
55,神聖憤怒
56,神聖震擊
57,癒合禱言
58,真言術：盾
59,光束泉
60,群體驅魔
61,養精蓄銳
62,淨魔術
63,衝鋒
64,拳擊
65,勝利衝擊
66,旋風斬
67,兇蠻咆哮
68,化毒袪病
69,復活寵物
70,熔岩暴擊
71,梟獸造型
72,精靈之火
73,驅邪術
74,戰鬥狂嘯
75,黑暗遊俠
76,魚叉
77,凶暴野獸
78,獵人印記
79,信號彈
80,冰霜之徑
81,闇境靈行
82,妖術
83,惡魔守衛
84,碎玉轟雷掌
85,粉碎靈魂
86,虛無形態
87,滑翔
88,暗影形態
89,死亡之握
90,召喚魅魔
91,靈魂裂片
92,暗影惡魔
93,神性戰馬
94,水棲形態
95,飛行形態
195,召喚薩亞德
197,秘法魔寵
