ID,Question_lang
28,GM對玩家的問題有提供適當的解答或解決方法嗎?
29,提供的資訊容易了解嗎?
30,在你和GM互動的過程中，GM是否對遊戲知識有一定的了解程度，是否有禮貌，是否對玩家的狀況有同理心?
31,你對GM回應請願的速度滿意嗎?
32,你對GM協助你的請願經驗而言會打幾分呢?
33,根據您的支援經驗，您會向他人介紹魔獸世界嗎?
35,根據此次的客服經驗，您會跟朋友推薦智凡迪產品或服務的可能性是?
36,您的問題解決了嗎?
37,我對客戶服務的整體觀感:
38,我等待客戶服務的時間:
39,客服人員的專業度:
40,客服人員的溝通技巧:
41,客服人員的整體服務:
42,您對於魔獸世界的整體滿意度是?
43,您未來繼續玩魔獸世界的可能性是?
44,您推薦魔獸世界給朋友的可能性是?
45,回想您與客服最近的一次接洽，您對於客服人員所提供的服務滿意度是?
46,客服人員非常清楚地了解到我聯繫的原因。
47,我覺得自己被當成重要的客戶。
48,客服人員提供了清楚而精準的訊息。
49,客服人員向我解釋了我提出的問題將會如何處理。
50,您的疑難解決了嗎?
51,您對於與客戶服務人員取得聯絡所等候時間是否滿意?
52,為了處理這個問題，您和客服聯繫了幾次?
53,這名客服人員對遊戲知識有一定的了解程度。
