Name_lang,ID,Field_12_0_0_63967_001,Flags,Field_12_0_0_63724_002,RoomWmoDataID,UiTextureAtlasElementID,WeightCost,ItemID,SortPriority
方形房間（小型）,1,1,4,0,5,31139,5,0,120
走廊,2,1,4,0,7,31132,3,0,150
衣櫥,3,1,4,0,4,31130,1,0,145
T字型房間,6,1,4,0,162,31143,3,0,320
方形房間（極小）,7,1,4,0,3,31140,2,0,110
L字型房間,8,1,4,0,163,31133,3,0,310
八角形房間（中型）,9,1,4,0,165,31135,8,0,220
樓梯井（左）,10,1,6,0,8,31142,7,0,420
方形房間（中型）,11,1,0,0,160,31138,12,0,130
方形房間（大型）,12,1,0,0,6,31137,20,0,140
十字形房間,13,1,4,0,161,31131,4,0,330
八角形房間（小型）,14,1,4,0,164,31136,4,0,210
八角形房間（大型）,15,1,0,0,166,31134,16,0,230
中型基本土地,18,1,5,0,172,0,0,0,0
入口,46,1,5,0,177,0,0,0,0
樓梯門房間（空的）,48,1,6,0,179,31144,6,0,430
樓梯井（右）,50,1,6,0,180,31141,7,0,410
奧格瑪議事廳,132,3,8,0,202,35463,20,274673,840
奧格瑪石坑室,151,3,8,0,219,35465,5,274675,820
日光圓形房間,223,3,8,0,233,32639,8,272045,710
傍晚圓形房間,233,3,8,0,255,32640,8,0,720
暴風城軍械庫,273,3,8,0,305,35471,12,272997,930
暴風城廚房,277,3,8,0,326,35474,5,274667,920
暴風城展覽廳,281,3,8,0,328,35472,5,274666,910
暴風城大廳,282,3,8,0,336,35473,20,274665,940
銀月城軍械庫,283,3,8,0,337,35467,12,274663,1030
銀月城高級研究室,285,3,8,0,345,35469,20,274664,1040
銀月城展覽廳,286,3,8,0,346,35468,5,274661,1010
貝拉梅斯廟堂,287,3,8,0,347,35461,20,274670,1140
貝拉梅斯會議室,288,3,8,0,348,35460,12,274668,1130
貝拉梅斯劇場,289,3,8,0,349,35462,5,274669,1120
貝拉梅斯臥室,290,3,8,0,350,35459,5,274671,1110
奧格瑪劇場,292,3,8,0,352,35466,12,274674,830
奧格瑪展覽廳,294,3,8,0,353,35464,5,274676,810
銀月城小型研究室,307,3,8,0,371,35470,5,274662,1020
秋季西部荒野獸倉,400,3,8,0,378,36094,18,276243,750
春季西部荒野獸倉,401,3,8,0,379,36095,18,276244,760
