SourceText_lang,ID,CostItemID,CurrencyID,OrderIndex,ItemBonusSeasonID,FragmentItemID,FragmentsEarnedTrackingCurrencyID
獲取：|n -等級6以下的巨龍崛起傳奇難度地城|n -隨機團隊難度的亞貝魯斯首領|n -世界任務、寶箱或扎拉萊克洞窟的活動,9,204193,0,1,3,204075,2409
獲取：|n -等級6到等級10之間的巨龍崛起傳奇難度地城|n -普通難度的亞貝魯斯首領|n -選擇扎拉萊克洞窟的每週活動,10,204195,0,2,3,204076,2410
獲取：|n -英雄難度的亞貝魯斯首領|n -等級11到等級15之間的巨龍崛起傳奇難度地城,11,204196,0,3,3,204077,2411
獲取：|n -傳奇難度的亞貝魯斯首領|n -等級16以上的巨龍崛起傳奇難度地城,12,204194,0,4,3,204078,2412
,14,0,2706,1,7,0,0
,15,0,2707,2,7,0,0
,16,0,2708,3,7,0,0
,17,0,2709,4,7,0,0
,18,0,2806,1,8,0,0
,19,0,2807,2,8,0,0
,20,0,2809,3,8,0,0
,21,0,2812,4,8,0,0
