ID,Name_lang,Quantity,Flags
2,珠寶匠寶石,3,1
3,治療石,1,0
4,法力寶石,1,0
6,風暴珠寶,1,1
7,附魔珍珠,1,1
8,束縛之光,1,1
9,束縛之石,1,1
10,死亡抉擇,1,1
11,死亡裁決,1,1
12,伊崔格之誓,1,1
13,霜誕狂熱,1,1
14,易變之力神像,1,1
15,狂熱的活力,1,1
16,亡者君臨,1,1
17,無息君臨,1,1
18,薩崔娜的阻礙甲蟲,1,1
19,落敗撫慰,1,1
20,墮落撫慰,1,1
21,易變之力咒符,1,1
22,被遺忘者的報復,1,1
23,勝者之喚,1,1
24,無情侵略指環,1,0
25,可悲暴力指環,1,1
26,逆王指環,1,0
27,華爾琪雙子指環,1,1
28,暴力躁怒指環,1,1
29,肉食指環,1,1
30,暗癒者環戒,1,1
31,火焰風暴指環,1,1
32,火焰風暴戒指,1,1
33,戈莫克指環,1,1
34,華爾琪雙子戒環,1,1
35,火紅顯現,1,1
36,巡界者指環,1,1
37,巡界者徽記,1,1
38,無情侵略戒指,1,1
39,無情侵略戒指,1,1
40,暗癒者戒指,1,1
41,暴力躁怒戒指,1,1
42,逆王徽記,1,1
43,Test Ring Limit,1,1
44,奧索的算盤,1,1
45,真血小珠,1,1
46,鎮魂錢,1,1
47,死亡使者的意志,1,1
48,異物逐除,1,1
49,無名巫妖的骨匣,1,1
50,瓶中的小憎惡體,1,1
51,辛德拉苟莎的無瑕尖牙,1,1
52,憎惡體血腥戒指,1,1
53,腐爛徽記,1,1
54,鮮紅盤繞戒指,1,1
55,腐臉的不和戒指,1,1
56,薩魯法爾的冷鑄指環,1,1
57,暮光之后徽印,1,1
58,三倍尖牙徽記,1,1
59,骸骨巨像指環,1,1
60,迪維努的永恆金戒,1,1
61,多口徽印,1,1
62,霜育藍寶石戒指,1,1
63,狂熱指環,1,1
64,無盡迷宮戒環,1,1
65,瑪洛嘉的嚴寒之眼,1,1
66,瑪里苟斯之憶,1,1
67,荒萎之力,1,1
68,狂亂低語戒指,1,1
69,疾速飛升戒指,1,1
70,骷髏領主之環,1,1
71,瓦拉納爾的另一枚璽戒,1,1
72,血紅修補指環,1,1
73,穆拉丁的望遠鏡,1,1
74,純淨寒冰稜片,1,1
75,無法辨識的臟器,1,1
76,低語牙顱,1,1
77,暮光鱗片,1,1
78,定相再生之戒,1,1
79,薩薇安娜的供品,1,1
80,暮光徽記,1,1
81,扎里斯利安的祭品,1,1
82,鋒利暮光鱗片,1,1
83,石化暮光鱗片,1,1
84,灼熾暮光鱗片,1,1
85,焦黑暮光鱗片,1,1
86,公會藥劑,1,0
89,壓倒性的重量,1,1
90,颶風精華,1,1
91,凡人之死,1,1
92,伊格納修斯之心,1,1
93,瑟拉里恩之鏡,1,1
94,失竊記憶之瓶,1,1
95,狂怒共鳴之鈴,1,1
96,狂怒之心,1,1
97,古代藥物罐,1,1
98,普瑞斯托的詭計咒符,1,1
99,共生蟲,1,1
100,海洋之力,1,1
101,瓷蟹,1,1
102,海之星,1,1
103,信使之賜,1,1
104,巫魅沙漏,1,1
105,無盡間室之鑰,1,1
106,深沉絕望,1,1
107,磁石鏡,1,1
108,血之淚,1,1
109,穴居陰暗觸鬚,1,1
110,雷霆之心,1,1
111,雨歌,1,1
112,撫慰之心,1,1
113,哀歌,1,1
114,堤雅的恩賜,1,1
115,安胡爾的詩集,1,1
116,伊希賽特之血,1,1
117,拉頡的左眼,1,1
118,拉頡的右眼,1,1
119,腐化的蛋殼,1,1
120,暗影強風,1,1
121,卡德羅斯印記,1,1
122,斯卡汀的恩典,1,1
123,瑟隆葛斯之指,1,1
129,「好膽」螺帽,1,1
130,鍊金石,1,1
132,生命天秤,1,1
133,可變脈衝式電光相容器,1,1
134,絕境當頭,1,1
135,飢餓者,1,1
136,卡茲格羅斯的儀器設備,1,1
137,蛛絲紡錘,1,1
138,死靈法術集核,1,1
139,熾熱能量之眼,1,1
140,矩陣再穩定裝置,1,1
141,加速之瓶,1,1
142,暫緩死刑,1,1
143,塞斯符文,1,1
145,熾炎精粹,1,1
146,遠古石化種子,1,1
147,永恆之火精華,1,1
148,烈火珠寶,1,1
150,復仇者徽記,1,1
151,寡婦之吻,1,1
152,水晶囚牢指環,1,1
153,艾里絲拉卓的指環,1,1
155,硫磺戒指,1,1
158,塞克的餘燼徽印,1,1
166,緊急下降戒環,1,1
167,偉大建築師徽印,1,1
168,復原指環,1,1
169,堅決徽記,1,1
170,血肉撕裂戒指,1,1
171,竊息者指環,1,1
172,無情戒指,1,1
173,原影聖印,1,1
174,無盡戒環,1,1
175,傷痕徽記,1,1
176,捕口徽印,1,1
177,裂木戒指,1,1
178,捲曲暮光之爪,1,1
179,聖光倒影,1,1
180,瓶裝願望,1,1
181,基洛提瑞克符印,1,1
182,腐爛頭顱,1,1
183,深淵之火,1,1
184,壞滅之眼,1,1
185,無縛之怒,1,1
186,不朽的決心,1,1
187,淨縛之意志,1,1
188,無命之心,1,1
189,末代之龍的誕生塑像,1,1
190,靈魂轉移者漩渦,1,1
191,骨連神像,1,1
192,暗影之瓶,1,1
193,不撓傲氣,1,1
194,殘暴者的狡詐,1,1
195,迎風之心,1,1
196,擒星羅盤,1,1
197,七徵聖印,1,1
198,腐敗心靈徽記,1,1
201,魔古寶藏,1,0
203,珠寶師的切面,2,1
204,魔寵石,1,0
205,光耀法力寶石,1,0
206,迷霧暗月卡,1,1
207,恐懼水晶,1,1
208,無垠星辰之瓶,1,1
209,暗霧漩渦,1,1
210,恐懼精華,1,1
211,翠玉強盜刻像,1,1
212,翠玉車駕刻像,1,1
213,翠玉交際花刻像,1,1
214,翠玉執政官刻像,1,1
215,翠玉督軍刻像,1,1
216,雷神的最後命令,1,1
217,宇宙之光,1,1
218,秦璽的極化徽印,1,1
219,太陽之魂,1,1
220,夢魘之物,1,1
221,霧中之懼,1,1
222,龍血之瓶,1,1
223,爆發新星指環,1,1
224,虛弱靈魂指環,1,1
225,懼影戒指,1,1
226,馮的夢境之戒,1,1
227,馮的束縛徽印,1,1
228,懼生血肉碎片,1,1
229,痛苦棘刺戒指,1,1
230,瑞蓋爾的無盡指環,1,1
231,劍刃暴風戒指,1,1
232,粉碎甲殼戒指,1,1
233,瀆神徽印,1,1
234,大臣的紅寶石徽記,1,1
235,水魂徽記,1,1
236,金蓮會的珍藏,1,1
237,影潘的珍藏,1,1
238,影潘的珍藏,1,1
239,浮華的黑鑽石戒指,1,1
240,堅固的陷阱,1,0
241,野蠻制霸先鋒軍徽記,1,1
242,高階鐵壁特遣行動徽記,1,1
243,次級制霸先鋒軍徽記,1,1
244,次級鐵壁特遣行動徽記,1,1
245,鐵壁特遣行動的珍藏,1,1
246,制霸先鋒軍的珍藏,1,1
247,挑戰卡,1,0
249,血浸裝備,1,1
250,影潘之襲的珍藏,1,1
251,金羅克的靈魂水晶,1,1
252,薩姆魯之戒,1,1
253,金羅克的夢之碎片,1,1
254,獨顱目的囚心眼球,1,1
255,脊鱗封印,1,1
256,染血之神印章,1,1
257,獨顱目的斷裂觸手,1,1
258,羅剎克的遺物,1,1
259,綴鱗暴君指環,1,1
260,石化蜥蜴之眼,1,1
261,邪惡魂能,1,1
262,多頭蛇之息,1,1
263,洽耶的光輝精華,1,1
264,兇殘玲瓏瓶,1,1
265,稷坤的傳說之羽,1,1
266,贊達拉之韌,1,1
267,雙絕之凝視,1,1
268,哈里登的臨終喘息,1,1
269,幼生多頭蛇雕花包,1,1
270,稷坤的復甦之風,1,1
271,閃電灌注之杯,1,1
272,普莫迪斯的狂怒咒符,1,1
273,雷納塔基的靈魂符咒,1,1
274,重新分配之符文,1,1
275,靈魂屏障,1,1
276,贊達拉火花,1,1
277,失竊的祖達薩聖物,1,1
278,嗜血咒符,1,1
279,雷神的精準遠見,1,1
280,烏蘇雷的最後抉擇,1,1
281,祈倫托先遣軍的珍藏,1,1
282,奪日者先鋒軍的珍藏,1,1
283,影潘之襲的咒符,1,1
287,美德披風,1,1
288,,1,1
289,,1,1
290,,1,1
291,,1,1
292,,1,1
293,,1,1
294,,1,1
295,雪怒之律,1,1
296,玉龍之噬,1,1
297,赤吉之思,1,1
298,雪怒之捷,1,1
299,怒兆之毅,1,1
300,石化薄荷戒指,1,1
301,葛拉卡斯的熄滅餘燼,1,1
302,尹幽卡的家傳徽印,1,1
303,永恆哀傷徽印,1,1
304,慍怒徽印,1,1
305,雷射切割璽戒,1,1
306,馭龍師璽戒,1,1
307,憂傷小徑璽戒,1,1
308,艾斯葛拉顯血之徽印,1,1
309,遺忘諸王徽印,1,1
310,PH,1,1
311,血爪指環,1,1
312,葛拉克朗控制指環,1,1
313,鐵墓之戒,1,1
314,魔牙指環,1,1
315,PH,1,1
316,現實撕裂者之戒,1,1
317,迅蛟璽戒,1,1
318,不息之力戒指,1,1
319,基爾魯克權勢指環,1,1
320,必然的結果,1,1
321,淨化的伊莫爾西斯之縛,1,1
322,納茲格寧姆的光潔徽記,1,1
323,融合之火核心,1,1
324,茹克的不幸咒符,1,1
325,殲滅者聚焦水晶,1,1
326,葛拉卡斯的邪惡之眼,1,1
327,傲慢稜石之獄,1,1
328,卡德里斯的劇毒圖騰,1,1
329,哈洛姆的咒符,1,1
330,暴怒符印,1,1
331,狂暴之怒水晶,1,1
332,梭克的酸蝕之牙,1,1
