DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
背包,,2,1,0,0,-1,0,0,0,-1
斧,單手斧,3,2,0,0,-1,3,0,1,1
斧,雙手斧,4,2,1,0,0,3,0,2,-1
弓,弓,5,2,2,0,-1,128,0,1,-1
槍械,槍械,6,2,3,0,-1,160,0,1,-1
錘,單手錘,7,2,4,0,-1,3,0,1,5
錘,雙手錘,8,2,5,0,4,3,0,2,-1
長柄武器,長柄武器,9,2,6,0,-1,3,0,2,-1
劍,單手劍,10,2,7,0,-1,3,0,1,8
劍,雙手劍,11,2,8,0,7,3,0,2,-1
戰刃,,12,2,9,0,-1,1,0,2,-1
法杖,法杖,13,2,10,0,-1,3,0,2,-1
熊爪,熊爪,14,2,11,0,-1,0,3,1,12
豹爪,豹爪,15,2,12,0,11,0,3,1,-1
拳套,拳套,16,2,13,0,-1,5,0,1,-1
雜項,,17,2,14,0,-1,2,1,0,-1
匕首,匕首,18,2,15,0,-1,3,0,8,-1
雜項,,19,4,0,0,-1,512,1,0,-1
布甲,布甲,20,4,1,0,-1,1536,0,0,-1
皮甲,皮甲,21,4,2,0,-1,1536,0,0,-1
鎖甲,鎖甲,22,4,3,0,-1,1536,0,0,-1
鎧甲,鎧甲,23,4,4,0,-1,1536,0,0,-1
造型,造型,24,4,5,0,-1,0,1,0,-1
盾牌,盾牌,25,4,6,0,5,0,0,0,-1
魔杖(廢棄),,26,6,0,0,-1,0,3,0,-1
矢(廢棄),,27,6,1,0,-1,0,2,0,-1
箭,,28,6,2,0,-1,0,2,0,-1
子彈,,29,6,3,0,-1,0,2,0,-1
箭袋(廢棄),,30,11,0,0,-1,0,7,0,-1
矢(廢棄),,31,11,1,0,-1,0,7,0,-1
箭袋,,32,11,2,0,-1,0,6,0,-1
彈藥包,,33,11,3,0,-1,0,6,0,-1
投擲武器,投擲武器,34,2,16,0,-1,16,0,1,-1
投擲武器(廢棄),,35,6,4,0,-1,0,2,0,-1
智力,,36,3,0,1,-1,0,1,0,-1
商品(廢棄),,37,7,0,0,-1,0,3,0,-1
零件,,38,7,1,10,-1,0,1,0,-1
爆裂物(廢棄),,39,7,2,0,-1,0,3,0,-1
書籍,,40,9,0,0,-1,0,1,0,-1
製皮,,41,9,1,0,-1,0,1,0,-1
裁縫,,42,9,2,0,-1,0,1,0,-1
爆裂物與裝置,,43,0,0,0,-1,0,1,0,-1
藥水,,44,0,1,0,-1,0,1,0,-1
藥劑,,45,0,2,0,-1,0,1,0,-1
矛,矛,46,2,17,0,-1,3,2,2,-1
金錢(廢棄),,47,10,0,0,-1,0,1,0,-1
頭部,,48,8,0,0,-1,0,1,0,-1
任務,,49,12,0,0,-1,0,1,0,-1
施法材料,,50,5,0,0,-1,0,1,0,-1
永久,,51,14,0,0,-1,0,1,0,-1
垃圾,,52,15,0,0,-1,0,1,0,-1
鑰匙,,53,13,0,0,-1,0,1,0,-1
開鎖工具,,54,13,1,0,-1,0,1,0,-1
弩,弩,55,2,18,0,-1,160,0,1,-1
魔杖,魔杖,56,2,19,0,-1,256,0,1,-1
魚竿,魚竿,57,2,20,0,-1,0,0,8,-1
裝置(廢棄),,77,7,3,0,-1,0,3,0,-1
工程學,,99,9,3,0,-1,0,1,0,-1
鍛造,,100,9,4,0,-1,0,1,0,-1
烹飪,,101,9,5,10,-1,0,1,0,-1
鍊金術,,102,9,6,0,-1,0,1,0,-1
急救,,103,9,7,11,-1,0,1,0,-1
附魔,,104,9,8,0,-1,0,1,0,-1
釣魚,,105,9,9,12,-1,0,1,0,-1
珠寶設計,,106,9,10,0,-1,0,1,0,-1
靈魂裂片包,,107,1,1,0,-1,0,6,0,-1
草藥包,,109,1,2,0,-1,0,0,0,-1
附魔包,,110,1,3,0,-1,0,0,0,-1
工程包,,111,1,4,0,-1,0,0,0,-1
聖契,聖契,112,4,7,0,-1,0,2,0,-1
塑像,塑像,113,4,8,0,-1,0,2,0,-1
圖騰,圖騰,114,4,9,0,-1,0,2,0,-1
珠寶設計,,115,7,4,1,-1,0,1,0,-1
寶石包,,116,1,5,0,-1,0,0,0,-1
礦石包,,118,1,6,0,-1,0,0,0,-1
敏捷,,119,3,1,2,-1,0,1,0,-1
力量,,120,3,2,3,-1,0,1,0,-1
