Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
獸人語,1,0,0,0,0
達納蘇斯語,2,0,0,0,0
牛頭人語,3,0,0,0,0
矮人語,6,0,0,0,0
通用語,7,0,0,0,0
惡魔語,8,0,0,0,0
泰坦語,9,0,0,0,0
薩拉斯語,10,0,0,0,0
龍語,11,0,0,0,0
元素語,12,0,0,0,0
地精語,13,0,0,0,0
食人妖語,14,0,0,0,0
不死族語,33,0,0,0,0
德萊尼語,35,0,0,0,0
殭屍語,36,0,0,0,0
地精二進位語,37,0,0,0,0
哥布林二進位語,38,0,0,0,0
狼人語,39,0,0,0,0
哥布林語,40,0,0,0,0
熊貓人語,42,0,0,0,0
熊貓人語,43,0,0,0,0
熊貓人語,44,0,0,0,0
妖精語,168,0,0,0,0
古神語,178,0,0,0,0
魚人語,179,0,0,0,0
梟獸語,180,0,0,0,0
夏拉斯語,181,0,0,0,0
薩拉斯語,182,0,0,0,0
狐狸人語,285,0,0,0,0
複雜暗語,287,0,0,0,0
基礎暗語,288,0,0,0,0
節拍語,290,7,5410,36,0
低音語,291,7,5410,36,0
高音語,292,7,5410,36,0
初調語,293,7,5410,36,0
中調語,294,7,5410,36,0
輕頻語,295,7,5410,36,0
重頻語,296,7,5410,36,0
內嵌語言,297,2,0,0,0
不可知,298,7,5410,36,0
熊怪語,303,1,5508,36,62550
土靈,304,1,0,36,69564
奈幽語,307,0,0,0,0
