Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
棕馬,|cFFFFD200商人：|r安格爾‧斯塔特弗斯|n|cFFFFD200區域：|r濕地|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,基於出眾的耐性和精力，深得暴風城守衛的喜好。,6,230,0,2,458,0,0,4,0,0
灰狼,|cFFFFD200商人：|r奧古納羅‧狼行者|n|cFFFFD200區域：|r奧格瑪|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,這個品種的狼喜歡在迷霧中打獵，依靠灰白的毛皮做為偽裝，逼近沒警覺心的獵物。,7,230,64,2,459,0,0,4,0,0
白馬,|cFFFFD200經典|r,這種強而有力、絕不屈服的白馬，經常出現在遠古人類部族的神話中。,8,230,64,2,468,0,0,4,0,0
黑馬,|cFFFFD200商人：|r凱蒂‧斯托克斯|n|cFFFFD200區域：|r暴風城|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,由於一身黑色毛皮，謠傳軍情七處最喜歡用牠來執行夜間任務。,9,230,0,2,470,0,0,4,0,0
雜色馬,|cFFFFD200商人：|r凱蒂‧斯托克斯|n|cFFFFD200區域：|r暴風城|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,牠的性情冷靜，很適合用來讓年輕孩童練習上馬馳騁。,11,230,0,2,472,0,0,4,0,0
黑狼,|cFFFFD200商人：|r奧古納羅‧狼行者|n|cFFFFD200區域：|r奧格瑪|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,咆哮聲在數里之外都還清晰可聞。,12,230,64,2,578,0,0,4,0,0
赤狼,|cFFFFD200經典|r,在艾澤拉斯上瀕臨絕種；只有經歷豐富的人曾經見過它們的行蹤。,13,230,64,2,579,0,0,4,0,0
森林狼,|cFFFFD200商人：|r奧古納羅‧狼行者|n|cFFFFD200區域：|r奧格瑪|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,咆哮聲在數里之外都還清晰可聞。,14,230,0,2,580,0,0,4,0,0
冬狼,|cFFFFD200經典|r,在先祖熊怪的傳說中，披著雪白外皮的狼擁有艾澤拉斯的雙月祝福。,15,230,64,2,581,0,0,4,0,0
惡魔戰馬,|cFFFFD200職業：|r術士,受到惡魔的力量腐化，並被迫服從於暗影議會。,17,230,0,1,5784,31504,0,4,0,0
栗色馬,|cFFFFD200商人：|r凱蒂‧斯托克斯|n|cFFFFD200區域：|r暴風城|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,結實又穩重，暴風城就是靠這些馬匹打造出來的。,18,230,0,2,6648,0,0,4,0,0
恐狼,|cFFFFD200商人：|r奧古納羅‧狼行者|n|cFFFFD200區域：|r奧格瑪|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,原先認為在極北地區之外的恐狼已經絕種。那些準備過冬的人會不斷尋找牠們的蹤跡。,19,230,0,2,6653,0,0,4,0,0
暗棕狼,|cFFFFD200商人：|r奧古納羅‧狼行者|n|cFFFFD200區域：|r奧格瑪|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,咆哮聲在數里之外都還清晰可聞。,20,230,0,2,6654,0,0,4,0,0
灰山羊,|cFFFFD200商人：|r維隆‧凍石|n|cFFFFD200區域：|r丹莫洛|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,公羊經常用厚重的頭骨相互對撞，以搏取母羊的青睬。在這方面，牠們的表現很像矮人。,21,230,0,2,6777,0,0,4,0,0
黑山羊,|cFFFFD200經典|r,我已經好久都沒看過這個品種了，但是當牠們用力對撞的時候，會一直在附近遊蕩。- 維隆‧凍石,22,230,64,2,6896,0,0,4,0,0
騎乘用白山羊,|cFFFFD200商人：|r維隆‧凍石|n|cFFFFD200區域：|r丹莫洛|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,公羊經常用厚重的頭骨相互對撞，以搏取母羊的青睬。在這方面，牠們的表現很像矮人。,24,230,0,2,6898,0,0,4,0,0
棕山羊,|cFFFFD200商人：|r維隆‧凍石|n|cFFFFD200區域：|r丹莫洛|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,公羊經常用厚重的頭骨相互對撞，以搏取母羊的青睬。在這方面，牠們的表現很像矮人。,25,230,0,2,6899,0,0,4,0,0
條紋霜刃豹,|cFFFFD200商人：|r萊蘭奈|n|cFFFFD200區域：|r達納蘇斯|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,這種健壯的坐騎有著兇狠的食欲，為牠們博得夜精靈語中的「龍腹」之名。,26,230,0,2,8394,0,0,4,0,0
翡翠迅猛龍,|cFFFFD200商人：|r祖尼爾|n|cFFFFD200區域：|r杜洛塔|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,從來自各地最殘暴的獸群中挑選出來並加以培育，保證不會大口咬人。,27,230,0,2,8395,0,0,4,0,0
骸骨戰馬,|cFFFFD200經典|r,就像大部份的不死生物一樣，牠的命運並不是由自已決定的。,28,230,64,2,8980,0,0,4,0,0
斑點霜刃豹,|cFFFFD200商人：|r萊蘭奈|n|cFFFFD200區域：|r達納蘇斯|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n,這種健壯的坐騎有著兇狠的食欲，為牠們博得夜精靈語中的「龍腹」之名,31,230,0,2,10789,0,0,4,0,0
虎,|cFFFFD200經典|r,,32,230,64,5,10790,0,0,4,0,0
條紋夜刃豹,|cFFFFD200商人：|r萊蘭奈|n|cFFFFD200區域：|r達納蘇斯|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,牠們是艾澤拉斯最完美的掠食者之一，這些敏捷的野獸可以在濃密的叢林中穿梭而不發出一絲聲響。,34,230,0,2,10793,0,0,4,0,0
白色迅猛龍,|cFFFFD200經典|r,從來自各地最殘暴的獸群中挑選出來並加以培育，保證不會大口咬人。,35,230,64,2,10795,0,0,4,0,0
青色迅猛龍,|cFFFFD200商人：|r祖尼爾|n|cFFFFD200區域：|r杜洛塔|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,從來自各地最殘暴的獸群中挑選出來並加以培育，保證不會大口咬人。,36,230,0,2,10796,0,0,4,0,0
紫色迅猛龍,|cFFFFD200商人：|r祖尼爾|n|cFFFFD200區域：|r杜洛塔|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,從來自各地最殘暴的獸群中挑選出來並加以培育，保證不會大口咬人。,38,230,0,2,10799,0,0,4,0,0
紅色機械陸行鳥,|cFFFFD200商人：|r米利‧羽哨|n|cFFFFD200區域：|r丹莫洛|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,「外部動態地形繪圖系統可以透過液壓成像的原理，與平衡強化器共同運作…」- 賓吉‧羽哨,39,230,0,2,10873,0,0,4,0,0
