Name_lang,Description_lang,Objective_lang,ID,BattlemasterListID,LFGDungeonsID,RewardsQuestID
Test Brawl,Test brawl description.,,1,0,2041,0
亂鬥：南海鎮大戰塔倫米爾,死亡決鬥,"- 擊殺敵方玩家可得分
- 榮譽擊殺可提高階級
- 擊殺高階玩家得分較高",2,789,0,0
亂鬥：熱力魔古神廟,異能球,"- 加速提高
- 移動速度提高
- 重生時間縮短",3,858,0,0
亂鬥：重力流逝,空中之王,"- 重力會定期改變
- 旗幟持有者身體會變重
- 所有其他人身體會變輕",4,859,0,0
亂鬥：阿拉希暴風雪,冰雪之王,"- 占據目標
- 視線不佳
- 地面結凍",5,847,0,0
亂鬥：深風峽谷籃球賽,籃球賽,"- 礦坑可拾取球
- 將球帶往敵方基地
- 投籃或灌籃",6,860,0,0
亂鬥：號角之眼,咩咩之王,"- 享受騎乘山羊的樂趣！
- 山羊有擊退效果
- 距離可強化擊退效果",7,862,0,0
亂鬥：座無虛席,15v15競技場,"- 死亡決鬥
- 每隊15名玩家
- 最後還活著的隊伍勝利",8,866,0,0
亂鬥：戰歌大亂鬥,搶旗大戰,"- 每一隊有好幾支旗幟
- 只需要奪取一支旗幟就算奪旗成功
- 拾取隨機的增益效果方塊",9,861,0,0
亂鬥：影潘決戰場,5v5競技場,"- 5v5競技場
- 擊敗敵隊的魔古首領以獲得勝利
- 收集召喚寶箱以獲得增益",10,853,0,0
亂鬥：六人對戰,6v6戰場,"- 每隊6名玩家
- 全新遊戲模式",11,879,0,0
亂鬥：六人對戰 - 吉爾尼斯之戰,6v6戰場,"- 每隊6名玩家
- 全新遊戲模式",12,885,0,0
亂鬥：六人對戰 - 戰歌峽谷,6v6戰場,"- 每隊6名玩家
- 全新遊戲模式",13,886,0,0
亂鬥：六人對戰 - 碎銀礦坑,6v6戰場,"- 每隊6名玩家
- 全新遊戲模式",14,883,0,0
亂鬥：六人對戰 - 科特魔古神廟,6v6戰場,"- 每隊6名玩家
- 全新遊戲模式",15,884,0,0
亂鬥：六人對戰 - 暴風之眼,6v6戰場,"- 每隊6名玩家
- 全新遊戲模式",16,882,0,0
亂鬥：烹飪：不可能的任務,蒐集大賽,"- 在農場四處蒐集食材，帶回來給主廚
- 搶先蒐集足夠食材的隊伍獲勝！
- 擊敗敵對陣營的砰砰跳兔妖，就能使牠改效忠友方",17,887,0,0
亂鬥：補給滿倉,死亡決鬥,"- 死亡決鬥
- 每隊3名玩家 
- 每隊首兩次死亡的玩家會立即復活",18,0,0,0
騰湧海岸,收集艾澤萊晶岩,我們發現菲拉斯沿岸某座未知的島嶼上，有著大量的艾澤萊晶岩，現在那裡叫做騰湧海岸。,19,894,0,0
亂鬥：經典艾斯蘭,無盡史詩戰場,"- 艾斯蘭的戰鬥永無終止之日！
- 透過擊殺敵對陣營首領，以及佔領活動來獲得獎勵
- 從生物身上取得文物碎片，然後繳回，為己方陣營獲取增益效果",120,1021,0,0
亂鬥：對抗電腦,佔領據點,"- 占據目標
- 擊殺敵人
- 獲勝",121,0,1966,0
冬握湖,防禦或進攻冬握堡壘,"- 身為防守方時保護堡壘
- 身為攻擊方時摧毀堡壘的最後一道牆",122,1030,0,0
亂鬥：擁擠之島,10v10海嶼,我們需要更大的船…,123,0,2025,0
科爾拉克復仇之地,魔獸世界週年紀念活動,"- 體驗昔日的奧特蘭克山谷
- 擊殺『血怒者』科爾拉克，擊退食人妖的入侵！
- 完成任務和目標，贏取獎勵",124,1033,0,63953
深風峽谷,佔領目標,"- 佔領並守住目標
- 獲得1,500點資源",125,1039,0,0
亂鬥：科爾拉克復仇之地,經典奧特蘭克山谷,"- 體驗昔日的奧特蘭克山谷
- 擊殺『血怒者』科爾拉克，擊退食人妖的入侵！
- 完成任務和目標，贏取獎勵",126,1033,0,0
單人隨機,隨機隊伍競技場對戰,"- 6名玩家進行6個回合的3v3競技場
- 每個回合結束時會隨機重組隊伍
- 僅限單人玩家佇列配對",130,1065,0,0
單人隨機：神秘競技場,隨機隊伍競技場對戰,"- 6名玩家進行6個回合的3v3競技場
- 每個回合結束時會隨機重組隊伍
- 僅限單人玩家佇列配對",132,0,0,0
亂鬥：深風引爆,索敵殲滅,"-在市場撿拾炸彈
-護送炸彈至基地
-固守並防禦",133,1075,0,0
亂鬥：戰場閃擊戰,戰場閃擊戰,"- 治療者以外的單人佇列可雙排
- 每支隊伍8名玩家
- 與雙方陣營的成員一起戰鬥
- 全面提高坐騎速度
- 更快速的遊戲模式",136,1101,0,0
亂鬥：戰場閃擊戰 - 戰歌峽谷,戰場閃擊戰,,137,1102,0,0
亂鬥：戰場閃擊戰 - 雙子峰,戰場閃擊戰,,138,1103,0,0
亂鬥：戰場閃擊戰 - 吉爾尼斯之戰,戰場閃擊戰,,139,1104,0,0
