ID,InfoName_lang,Type,Modifiers,Profession
1,團體,0,2,0
21,職業,0,0,0
41,PvP,0,0,0
62,團隊,0,0,0
81,地城,0,0,0
82,世界事件,0,0,0
83,傳說,0,0,0
84,護送,0,0,0
85,英雄,0,0,0
88,團隊(10),0,0,0
89,團隊(25),0,0,0
98,事件,0,0,0
104,支線任務,0,0,0
107,神兵武器,0,0,0
109,世界任務,2,256,0
110,史詩世界任務,2,268,0
111,精英世界任務,2,258,0
112,史詩精英世界任務,2,334,0
113,PvP世界任務,3,256,0
114,急救世界任務,1,256,129
115,戰寵世界任務,4,256,0
116,鍛造世界任務,1,256,164
117,製皮世界任務,1,256,165
118,鍊金術世界任務,1,256,171
119,草藥學世界任務,1,256,182
120,採礦世界任務,1,256,186
121,裁縫世界任務,1,256,197
122,工程學世界任務,1,256,202
123,附魔世界任務,1,256,333
124,剝皮世界任務,1,256,393
125,珠寶設計世界任務,1,256,755
126,銘文學世界任務,1,256,773
128,特使任務,5,272,0
129,考古學世界任務,1,256,794
130,釣魚世界任務,1,256,356
131,烹飪世界任務,1,256,185
135,稀有世界任務,2,257,0
136,稀有精英世界任務,2,267,0
137,地城世界任務,6,267,0
139,軍團入侵世界任務,7,296,0
140,積分獎勵,3,272,0
141,團隊世界任務,8,266,0
142,軍團入侵精英世界任務,7,266,0
143,軍團之殞貢獻,9,272,0
144,軍團之殞世界任務,2,334,0
145,軍團之殞地城世界任務,6,331,0
146,燃燒軍團入侵世界任務包裹,11,0,0
147,戰爭前線 - 貧瘠之地,0,0,0
148,偷竊,0,0,0
151,麥格尼世界任務 - 艾澤萊晶岩,2,256,0
152,Tortollan World Quest - 8.0,2,256,0
153,戰爭前線貢獻,9,272,0
254,島嶼任務,0,0,0
255,戰爭模式玩家對玩家,0,0,0
256,PvP征服,10,272,0
259,陣營衝突戰世界任務,12,360,0
260,陣營衝突戰精英世界任務,12,330,0
261,島嶼每週任務,13,144,0
263,公開任務,0,16,0
264,威脅的目標,5,272,0
265,隱藏任務,5,272,0
266,戰鬥盟友任務,0,0,0
267,專業技能,0,0,0
268,威脅包裹,14,272,0
270,威脅特使任務,14,272,0
271,使命任務,15,0,0
272,VenthyrPartyQuest,2,448,0
273,淵喉靈魂生成追蹤器,5,272,0
278,PvP精英世界任務,3,258,0
279,禁忌之境特使任務,9,0,0
281,飛龍競速,16,0,0
282,重要任務,0,1024,0
283,完成敬酒的獎勵目標,0,512,0
284,主任務,0,2048,0
286,頂點世界任務,17,266,0
287,頂點封鎖,5,272,0
288,探究,0,0,0
289,世界首領,18,334,0
291,Hidden NYI,0,272,0
292,重要任務(無法放棄),0,1280,0
