ID,Description_lang,Type,Amount,ObjectID,OrderIndex,Flags,StorageIndex,QuestID
270941,釋放被捕的霜狼,0,3,73284,1,0,0,33145
272313,,0,6,82196,0,0,0,34076
272763,,0,12,75483,0,0,0,34496
272770,,0,1,78896,0,1,2,34501
272771,,0,1,78893,1,1,0,34501
272772,,0,1,78764,2,1,1,34501
272776,收集蘑菇汁,0,20,74249,1,0,1,34504
272779,解凍霜狼,0,12,78870,1,0,0,34505
272897,安撫驚恐的幼年徘徊者,0,7,79432,1,0,0,34639
272904,關閉佐克拉的虛空之門,0,4,79520,0,0,1,34660
272913,釋放德萊尼靈魂,0,8,79499,0,0,0,34667
272914,殺死惡魔,0,10,79503,1,0,1,34667
272916,擊落凝影蝙蝠騎士,0,4,88822,2,0,2,34667
272965,殺死獸人士兵,0,30,79581,0,0,0,34723
272972,殺死鋼鐵部落指揮官庫爾克洛什,0,1,79588,3,0,1,34723
272973,殺死天槌使者雷茲羅格,0,1,79651,2,0,2,34723
272974,摧毀碼頭補給箱,2,12,230653,1,0,3,34723
272975,,0,8,79658,1,0,0,34728
272976,,0,1,79681,2,0,1,34728
272977,,1,14,111559,0,0,2,34728
273017,殺死狂暴古樹,0,1,79409,0,1,1,34639
273119,,0,6,79544,1,0,0,34660
273213,殺死蒼白獸人,0,12,76534,0,0,0,34724
273214,摧毀卵囊,0,15,76548,1,0,1,34724
273215,殺死『宿主』茍格,0,1,76496,2,0,2,34724
273631,,0,6,75815,0,0,0,35236
273632,,1,20,112994,1,0,1,35236
273633,,0,6,75815,0,0,0,35237
273634,,1,20,112994,1,0,1,35237
273662,,0,1,94411,0,0,0,35250
273681,,0,3,79148,2,0,1,34076
273769,殺死顫血蒼白獸人,0,10,78758,3,0,3,34501
273770,,0,15,81902,0,0,0,35379
273799,,0,1,82202,3,0,1,35379
273800,,0,1,82205,1,0,2,35379
273801,,0,1,82209,2,0,3,35379
273843,殺死獸人鬼魂,0,6,82220,1,0,2,34076
273921,突擊血槌要塞,15,1,0,0,0,0,35637
273928,突擊血槌要塞,15,1,0,0,0,0,35641
273938,摧毀一桶採收到的毒液,2,3,233035,1,0,1,35649
273939,殺死破碎之手獸人,0,20,82130,3,0,0,35649
274153,殺死狂亂的魔花人,0,20,83450,0,0,0,35881
274154,打開古罐,0,8,83467,1,0,3,35881
274155,殺死馬爾科爾,0,1,83452,2,0,2,35881
274241,進攻暗潮棲息地,15,1,0,0,0,0,35974
274244,進攻暗潮棲息地,15,1,0,0,0,0,35977
274299,阻撓阿拉卡部隊,15,1,0,0,0,0,36069
274300,阻撓阿拉卡部隊,15,1,0,0,0,0,36070
274611,,0,10,78791,0,0,1,34505
274612,殺死嚴霜巨魔,0,8,72953,0,0,1,33145
274613,殺死蒼白生物,0,12,76382,0,0,0,34504
274617,突擊暗影議會,15,1,0,0,0,0,36338
274629,擾亂索奎薩爾高地,15,1,0,0,0,0,36347
274630,擾亂索奎薩爾高地,15,1,0,0,0,0,36348
274647,打倒一般敵人,0,100,85000,2,92,0,36338
274650,打倒中尉敵人,0,34,85195,3,92,1,36338
274652,打倒略差敵人,0,500,85197,1,92,3,36338
274653,捉住守衛,0,34,85103,12,92,4,36338
274655,儲物箱,2,20,234433,5,92,6,36338
274656,打倒小頭目敵人,0,4,85200,4,92,7,36338
274657,攻城大砲,0,45,84754,6,92,8,36338
274658,靈魂水晶,0,50,83856,7,92,9,36338
274659,魔化火焰,0,50,84279,8,92,10,36338
274672,突擊黑石鑄造場,15,1,0,0,0,0,36383
274673,殺死鋼鐵部落,0,100,85228,1,92,1,36383
274674,殺死鋼鐵部落,0,20,85229,2,92,0,36383
274675,殺死鋼鐵部落,0,5,85230,3,92,2,36383
274678,殺死較弱怪物,0,500,85260,1,92,0,35637
274679,殺死一般怪,0,100,85261,2,92,1,35637
274680,收集/互動(較差),0,50,85265,3,92,2,35637
274683,殺死高生命力上限的怪,0,34,82531,4,92,4,35637
274717,殺死較弱怪物,0,500,85260,1,92,0,35641
274718,殺死一般怪,0,100,85261,2,92,1,35641
274719,收集/互動(較差),0,50,85265,3,92,2,35641
274721,殺死高生命力上限的怪,0,34,82531,4,92,4,35641
