ID,Name_lang,Description_lang,Rarity,SpellID,ResearchBranchID,NumSockets,TextureFileID,RequiredWeight
9,白鑞酒杯,鐵爐堡的矮人原本是由三個部族所組成的，分別是銅鬚氏族、蠻錘氏族和黑鐵氏族。在經歷了矮人內戰後，銅鬚氏族控制了鐵爐堡，蠻錘氏族最後退到了辛特蘭和暮光高地。而黑鐵氏族則遷徙到赤脊山與燃燒平原之間，棲息於黑石山的暗影之中。,0,86857,1,1,461832,35
13,矮人至愛之稀有斧,,1,84796,0,5,0,50
40,陶製骨灰罈,鐵爐堡的矮人原本是由三個部族所組成的，分別是銅鬚氏族、蠻錘氏族和黑鐵氏族。在經歷了矮人內戰後，銅鬚氏族控制了鐵爐堡，蠻錘氏族最後退到了辛特蘭和暮光高地。而黑鐵氏族則遷徙到赤脊山與燃燒平原之間，棲息於黑石山的暗影之中。,0,86864,1,1,461832,35
42,磨損的狩獵小刀,鐵爐堡的矮人原本是由三個部族所組成的，分別是銅鬚氏族、蠻錘氏族和黑鐵氏族。在經歷了矮人內戰後，銅鬚氏族控制了鐵爐堡，蠻錘氏族最後退到了辛特蘭和暮光高地。而黑鐵氏族則遷徙到赤脊山與燃燒平原之間，棲息於黑石山的暗影之中。,0,86865,1,0,461832,30
44,骨製遊戲骰子,鐵爐堡的矮人原本是由三個部族所組成的，分別是銅鬚氏族、蠻錘氏族和黑鐵氏族。在經歷了矮人內戰後，銅鬚氏族控制了鐵爐堡，蠻錘氏族最後退到了辛特蘭和暮光高地。而黑鐵氏族則遷徙到赤脊山與燃燒平原之間，棲息於黑石山的暗影之中。,0,86866,1,0,461832,32
70,石獅鷲獸,鐵爐堡的矮人原本是由三個部族所組成的，分別是銅鬚氏族、蠻錘氏族和黑鐵氏族。在經歷了矮人內戰後，銅鬚氏族控制了鐵爐堡，蠻錘氏族最後退到了辛特蘭和暮光高地。而黑鐵氏族則遷徙到赤脊山與燃燒平原之間，棲息於黑石山的暗影之中。,0,88180,1,1,461832,35
72,銀色頸部飾環,鐵爐堡的矮人原本是由三個部族所組成的，分別是銅鬚氏族、蠻錘氏族和黑鐵氏族。在經歷了矮人內戰後，銅鬚氏族控制了鐵爐堡，蠻錘氏族最後退到了辛特蘭和暮光高地。而黑鐵氏族則遷徙到赤脊山與燃燒平原之間，棲息於黑石山的暗影之中。,0,88181,1,1,461832,34
77,贊達拉巫毒人偶,贊達拉部族是已知歷史最古老的食人妖部族，其他所有的食人妖都是源自於他們。贊達拉被視作是所有食人妖中地位最崇高的祭司階級，他們朝夕不倦、不停地記錄和保存食人妖的社會與傳統。從贊達拉分裂出的眾多部族中，以古拉巴什和阿曼尼這兩支部族最為強盛。,0,88262,8,0,461842,27
87,希爾雷克神像,贊達拉部族是已知歷史最古老的食人妖部族，其他所有的食人妖都是源自於他們。贊達拉被視作是所有食人妖中地位最崇高的祭司階級，他們朝夕不倦、不停地記錄和保存食人妖的社會與傳統。從贊達拉分裂出的眾多部族中，以古拉巴什和阿曼尼這兩支部族最為強盛。,0,88907,8,0,461842,30
89,蜥蜴之足符咒,贊達拉部族是已知歷史最古老的食人妖部族，其他所有的食人妖都是源自於他們。贊達拉被視作是所有食人妖中地位最崇高的祭司階級，他們朝夕不倦、不停地記錄和保存食人妖的社會與傳統。從贊達拉分裂出的眾多部族中，以古拉巴什和阿曼尼這兩支部族最為強盛。,0,88908,8,0,461842,32
