String_lang,ID,Flags
需要「蒼藍盟友」成就。,740,1
需要「峭壁夥伴」成就。,741,1
需要「一起翱翔天際」成就。,742,1
需要「新朋友」成就。,743,1
|cff808080這個天賦會視你的專精免費賦予，而且無法忘卻|r,910,1
再分配%d個點數即可解鎖這個天賦,911,1
經典版,953,1
外域,954,1
北裂境,955,1
浩劫與重生,956,1
潘達利亞,957,1
德拉諾,958,1
軍臨天下,959,1
庫爾提拉斯,960,1
暗影之境,961,1
巨龍群島,962,1
贊達拉,963,1
探險者,970,1
冒險者,971,1
精兵,972,1
勇士,973,1
英雄,974,1
以物品等級更高的火花重新製作這個物品後，將會永久移除風暴充能操縱器增加的插槽。|n|n確定要繼續嗎？,975,1
再分配%d個點數即可解鎖這個天賦,976,1
|cff808080這個天賦會視你的專精免費賦予，而且無法忘卻|r,977,1
神話,978,1
卡茲阿爾加,989,1
冒險者,990,1
以物品等級更高的火花重新製作這個物品後，將會永久移除熔岩雕刻者增加的插槽。|n|n確定要繼續嗎？,991,1
標籤1,992,0
標籤2,993,0
標籤3,994,0
標籤4,995,0
標籤5,996,0
以物品等級更高的火花重新製作這個物品後，將會永久移除自然搖籃增加的插槽。|n|n確定要繼續嗎？,997,1
覺醒,998,1
需要$@spellname263165天賦,1000,0
將軍必須將你視為「幫凶」。,1001,1
織絲者必須將你視為「熟人」。,1002,1
織絲者必須將你視為「親信」。,1003,1
織絲者必須將你視為「共犯」。,1004,1
將軍必須將你視為「同謀者」。,1005,1
將軍必須將你視為「教唆者」。,1006,1
將軍必須將你視為「密謀者」。,1007,1
織絲者必須將你視為「智囊」。,1008,1
將軍必須將你視為「熟人」。,1009,1
將軍必須將你視為「親信」。,1010,1
將軍必須將你視為「共犯」。,1011,1
織絲者必須將你視為「同謀者」。,1012,1
織絲者必須將你視為「幫凶」。,1013,1
織絲者必須將你視為「教唆者」。,1014,1
織絲者必須將你視為「密謀者」。,1015,1
輔臣必須將你視為「熟人」。,1016,1
輔臣必須將你視為「親信」。,1017,1
輔臣必須將你視為「共犯」。,1018,1
輔臣必須將你視為「同謀者」。,1019,1
輔臣必須將你視為「幫凶」。,1020,1
輔臣必須將你視為「教唆者」。,1021,1
輔臣必須將你視為「密謀者」。,1022,1
輔臣必須將你視為「智囊」。,1023,1
將軍必須將你視為「智囊」。,1024,1
你必須購買額外的雷霆一擊,1025,1
需要輝環天賦,1026,1
需要$@spellname73325天賦,1027,0
需要$@spellname121536天賦,1028,0
需要$@spellname374348天賦,1029,0
需要$@spellname367226天賦,1030,0
需要$@spellname370553天賦,1031,0
需要$@spellname6343天賦,1032,0
需要$@spellname46968天賦,1033,0
需要$@spellname29725天賦,1034,0
需要$@spellname227847天賦,1036,0
需要$@spellname265187天賦,1037,0
需要$@spellname1122天賦,1038,0
需要$@spellname108558天賦,1039,0
需要$@spellname386997天賦,1041,0
需要$@spellname375982天賦,1042,0
需要$@spellname200071天賦或$@spellname73685天賦,1043,0
需要$@spellname51564天賦,1044,0
需要$@spellname79206天賦,1045,0
需要$@spellname210689天賦,1046,0
需要$@spellname6343天賦和$@spellname107574天賦,1047,0
需要$@spellname108416天賦,1049,0
需要$@spellname107570天賦,1050,0
需要$@spellname3411天賦,1051,0
需要$@spellname268358天賦,1052,0
需要$@spellname5484天賦,1053,0
需要$@spellname106898天賦,1054,0
需要$@spellname274837天賦,1055,0
需要$@spellname80313天賦,1056,0
需要$@spellname202770天賦或$@spellname274281天賦,1057,0
需要$@spellname204066天賦,1058,0
需要$@spellname203964天賦,1059,0
需要$@spellname102401天賦,1060,0
需要$@spellname205636天賦,1061,0
需要$@spellname102693天賦,1062,0
