DisplayName_lang,AlternateVerb_lang,Description_lang,HordeDisplayName_lang,NeutralDisplayName,ID,CategoryID,SpellIconFileID,CanLink,ParentSkillLineID,ParentTierIndex,Flags,SpellBookSpellID,ExpansionNameSharedStringID,HordeExpansionNameSharedStringID
劍,,武器技能越高，擊中敵人的機率就越高。,,,43,6,136243,0,0,0,128,0,0,0
斧,,武器技能越高，擊中敵人的機率就越高。,,,44,6,136243,0,0,0,128,0,0,0
弓,,武器技能越高，擊中敵人的機率就越高。,,,45,6,136243,0,0,0,128,0,0,0
槍械,,武器技能越高，擊中敵人的機率就越高。,,,46,6,136243,0,0,0,128,0,0,0
錘,,武器技能越高，擊中敵人的機率就越高。,,,54,6,136243,0,0,0,128,0,0,0
雙手劍,,武器技能越高，擊中敵人的機率就越高。,,,55,6,136243,0,0,0,128,0,0,0
防禦,,防禦技能可提高你閃躲、招架和格擋攻擊的機率。防禦越高，你就越難以被擊中，怪物也越難對你造成致命一擊。,,,95,6,136243,0,0,0,640,0,0,0
語言：通用語,,,,,98,10,136243,0,0,0,144,0,0,0
種族特長 - 矮人,,種族特長 - 矮人,,,101,9,136243,0,0,0,33938,0,0,0
語言：獸人語,,,,,109,10,136243,0,0,0,128,0,0,0
語言：矮人語,,,,,111,10,136243,0,0,0,128,0,0,0
語言：達納蘇斯語,,,,,113,10,136243,0,0,0,128,0,0,0
語言：牛頭人語,,,,,115,10,136243,0,0,0,128,0,0,0
雙武器,,雙武器,,,118,6,136243,0,0,0,146,0,0,0
種族特長 - 牛頭人,,種族特長 - 牛頭人,,,124,9,136243,0,0,0,33938,0,0,0
種族特長 - 獸人,,種族特長 - 獸人,,,125,9,136243,0,0,0,32914,0,0,0
種族特長 - 夜精靈,,種族特長 - 夜精靈,,,126,9,136243,0,0,0,33938,0,0,0
法杖,,武器技能越高，擊中敵人的機率就越高。,,,136,6,136243,0,0,0,128,0,0,0
語言：薩拉斯語,,,,,137,10,136243,0,0,0,128,0,0,0
語言：龍語,,,,,138,10,136243,0,0,0,128,0,0,0
語言：惡魔語,,惡魔所用的邪惡語言。,,,139,10,236293,0,0,0,128,0,0,0
語言：泰坦語,,,,,140,10,136243,0,0,0,128,0,0,0
語言：古代語,,,,,141,10,136243,0,0,0,128,0,0,0
生存技能,,,,,142,9,136243,0,0,0,0,0,0,0
騎術：馬,,,,,148,9,136243,0,0,0,1170,0,0,0
騎術：狼,,,,,149,9,136243,0,0,0,1170,0,0,0
