SourceText_lang,ID,ItemID,PvpFaction,SourceTypeEnum,SpellID
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（15）|n|cFFFFD200花費：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t|n|n,2532,0,-1,3,2153
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點|n|n|n|n,2534,0,0,0,2158
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（85）|n|cFFFFD200花費：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t|n|n,2535,0,-1,3,2159
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（40）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t|n|n,2536,0,-1,3,2160
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（55）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t|n|n,2537,0,-1,3,2161
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（60）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t|n|n,2538,0,-1,3,2162
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點|n|n|n|n,2539,0,0,0,2163
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2540,0,0,0,2164
"|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（100）
|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",2541,0,-1,3,2165
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（120）|n|cFFFFD200花費：|r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2542,0,-1,3,2166
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（100）|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2543,0,-1,3,2167
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（110）|n|cFFFFD200花費：|r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2544,0,-1,3,2168
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2545,0,0,0,2169
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（25）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2549,0,-1,3,2331
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（40）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2550,0,-1,3,2332
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（50）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2551,0,-1,3,2334
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2552,0,0,0,2335
