ID,NameSubtext_lang,Description_lang,AuraDescription_lang
1,,,
3,,,
4,,,
5,,立即殺死目標。你這樣做覺得很得意嗎…,
7,,施法者自殺，立即殺死自己。,
11,,對目標造成$s1點冰霜傷害。,
13,,,
14,,,
17,,在盟友身上施加護盾，持續$d，吸收$s1點傷害。,吸收$w1點傷害。
24,,,
25,,,
26,,,
27,,,
31,,,
33,,,
34,,,
35,,,
45,,擊退附近的敵人。,
53,,"刺擊目標，造成${$s2*$<mult>}點物理傷害。當你在目標背後時，傷害提高$s4%$?s319949[，且致命一擊可施加找尋弱點，持續$319949s1秒][]。

|cFFFFFFFF獎勵$s3個連擊點數。|r",
56,,使目標昏迷$d。,昏迷。
59,,,
65,,使你的近戰加速提高$s1點，持續$d。,
66,,"使你在$66d後隱形，威脅值會逐秒遞減。隱形時敵人無法鎖定你，持續$32612d。你的任何行動都會取消此效果。$?a382293[

使你的移動速度提高$382293s1%，持續$337278d。][]",漸漸隱形。
71,,戰鬥的淬鍊使你的耐力提高$s2%，並且使護甲值提高相當於力量的$s1%。,
75,,自動射擊目標，直到取消為止。,射擊目標。
77,,,
81,被動,使你有一定機率閃躲敵人的近戰攻擊。,
96,,使你下一次的近戰攻擊傷害提高$s1點並使目標流血。,每$t2秒因流血而受到$s2點傷害
99,,變形成熊形態，召喚厄索爾之靈發出震耳咆哮，癱瘓$A1碼範圍內的所有敵人，持續$d。傷害可能會移除此效果。,癱瘓。
100,,"向一位敵人衝鋒，對其造成$126664s2點物理傷害，使其定身$105771d，$?s103828[，並使其昏迷$7922d][]。

|cFFFFFFFF產生$/10;s2點怒氣。|r",
101,等級1,摔絆人形生物目標，對其造成$s2點傷害，並使其倒地持續$d。獎勵$s3個連擊點數。,
107,被動,有一定機率格擋敵人的近戰和遠程攻擊。,
108,,,
110,,,
111,,,
112,,,
113,,在敵人周圍形成冰封的鏈條，將目標鎖定在原地，持續$d。,被定身在原地。
116,,"向敵人射出一支寒冰箭，造成$228597s1點冰霜傷害，並使其移動速度降低$205708s1%，持續$205708d。$?a378749[

寒冰箭對冰凍目標額外造成$378749m1%傷害。][]",
118,綿羊,"將敵人變成一隻四處遊蕩的羊，持續$d。被變成羊的目標行動癱瘓，但會迅速恢復生命力。傷害可能會移除此效果。同一時間只能影響1個目標。

只能對野獸、人形生物和小動物施放。$?s56382[如果目標為小動物，則可以對多數目標施放，且效果長達1天。][]",癱瘓。不能攻擊或施法。生命力恢復效果提高。
120,,對你面前錐形範圍內的目標造成$s1點冰霜傷害，$?a386763[使其冰凍在原地$386770d][且使其移動速度降低$212792m1%，持續$212792d]。,移動速度降低$s1%。
122,,衝擊你附近$A2碼範圍內的敵人，造成$s2點冰霜傷害並使其凍結在原地，持續$d。受到傷害時可能會中斷凍結效果。,冰凍在原地。
126,,召喚一個基爾羅格之眼，並將你的視野固定在它身上。此眼處於潛行狀態且移動迅速，但非常脆弱。,"控制基爾羅格之眼。
偵測隱形。"
130,,減緩一名隊伍成員的掉落速度，持續$d。,降低掉落速度。
133,,"丟出一枚熾熱火球，造成$s1點火焰傷害。$?a157642[

每次火球術未能對目標造成致命一擊時，其致命一擊機率提高$157644s1%，此效果可堆疊。火球術造成致命一擊時，此效果結束。][]",
134,,為盟友施加火焰之盾，每$t1秒對施法者附近的敵人造成$3052s1點火焰傷害，持續$d。,每$t1秒對附近的敵人造成$3052s1點火焰傷害。
