SourceText_lang,ID,ItemID,Flags,SourceTypeEnum
|cFFFFD200掉落：|r世界掉落,1,1973,0,0
|cFFFFD200黑市拍賣場|r,4,32566,0,2
|cFFFFD200黑市拍賣場|r,5,33223,0,2
|cFFFFD200黑市拍賣場|r,7,38578,0,2
|cFFFFD200節慶：|r愛就在身邊|n|cFFFFD200商人：|r可愛商品商人|n|cFFFFD200區域：|r各大主城|n|cFFFFD200花費：|r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n,9,34480,0,6
|cFFFFD200促銷活動|r,12,67097,0,7
|cFFFFD200商人：|r苔克斯‧電捲|n|cFFFFD200區域：|r艾薩拉|n|cFFFFD200花費：|r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,16,68806,0,2
|cFFFFD200商人：|r埃拉‧暗影風暴|n|cFFFFD200區域：|r熔岩前線|n|cFFFFD200花費：|r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,17,70161,0,2
|cFFFFD200世界事件：|r萬鬼節|n|cFFFFD200商人：|r洽布 / 桃樂西|n|cFFFFD200區域：|r提里斯法林地 / 暴風城|n|cFFFFD200花費：|r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n,18,70722,0,6
|cFFFFD200促銷活動|r,19,72161,0,7
|cFFFFD200掉落：|r潘達利亞,20,72231,2,0
|cFFFFD200掉落：|r『銳眼』尤里克|n|cFFFFD200區域：|r恆春谷,21,86568,0,0
|cFFFFD200掉落：|r『偷魂手』康|n|cFFFFD200區域：|r恆春谷,22,86571,0,0
|cFFFFD200掉落：|r哈瓦克|n|cFFFFD200區域：|r崑萊峰,23,72221,2,0
|cFFFFD200掉落：|r烏果烈|n|cFFFFD200區域：|r恆春谷,24,86575,0,0
|cFFFFD200掉落：|r思基席克|n|cFFFFD200區域：|r崑萊峰,25,72225,2,0
|cFFFFD200任務：|r伊露恩的祝福|n|cFFFFD200區域：|r月光林地,29,21540,0,1
,30,33079,2,7
|cFFFFD200專業技能：|r考古學,33,64651,0,3
|cFFFFD200商人：|r歐拉特‧酒膽、洛克‧銳頦|n|cFFFFD200區域：|r風暴群山|n|cFFFFD200花費：|r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t,34,43499,0,2
|cFFFFD200掉落：|r泰洛克|n|cFFFFD200區域：|r泰洛卡森林,99,32782,0,0
|cFFFFD200黑市拍賣場|r,100,34499,0,2
|cFFFFD200掉落：|r北裂境 - 世界掉落,101,37254,0,0
|cFFFFD200促銷活動|r,102,38301,0,7
|cFFFFD200成就：|r硬幣達人|n|cFFFFD200類別：|r釣魚,103,44430,0,5
|cFFFFD200世界事件：|r冬幕節,109,46709,0,6
|cFFFFD200促銷活動|r,110,49703,0,7
|cFFFFD200促銷活動|r,111,49704,2,7
|cFFFFD200任務：|r穆拉丁的悲歌|n|cFFFFD200區域：|r冰冠城塞,112,52201,0,1
|cFFFFD200任務：|r希瓦娜斯的復仇|n|cFFFFD200區域：|r冰冠城塞,114,52253,0,1
|cFFFFD200專業技能：|r考古學,116,64358,0,3
|cFFFFD200專業技能：|r考古學,117,64361,0,3
|cFFFFD200專業技能：|r考古學,118,64373,0,3
|cFFFFD200專業技能：|r考古學,119,64383,0,3
|cFFFFD200專業技能：|r考古學,120,64456,0,3
|cFFFFD200專業技能：|r考古學,121,64481,0,3
|cFFFFD200專業技能：|r考古學,122,64482,0,3
|cFFFFD200專業技能：|r考古學,123,64646,0,3
|cFFFFD200專業技能：|r考古學,124,64881,0,3
