Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
,,16,11409,898
,,17,0,898
虛織者,虛織者致力於研究虛空魔法的起源，並發現了一種取得與虛空薄弱聯繫的方法。這種力量極其危險且不穩定，膽敢阻擋的任何東西都將會被吞噬。,18,26682,795
御靈者,御靈者極為虔誠，和聖光與暗影有著極深的連結。御靈者可受到高等生物的祝福來進入晉升狀態，並成為自身的終極實體。,19,27430,795
神諭者,神諭者能一窺未來，並藉此來保護與強化盟友。參透未來能讓神諭者的技能獲得獨一無二的祝福，並搶先一步為盟友帶來關鍵強化效果。,20,26934,795
利爪德魯伊,利爪德魯伊專精於強大的動物形態戰技。當他們變身成獵豹或熊的時候，他們的力量會讓他們化身為凶狠無比的鬥士與荒野的保護者。,21,26675,793
野地潛獵者,野地潛獵者居住在偏遠的荒野之中。他們獵殺是為了維持生死循環，同時也為了摧毀那些破壞大自然的人。除此之外，他們還會在貧瘠的環境中使用治癒能力來保護生命。,22,26677,793
林地看守者,林地看守者啟發自塞納留斯充滿力量的子民，他們保衛自然的平衡以及守護夢境。他們能引導夢境的力量來強化法術，並召喚強大的樹人來保護盟友與粉碎敵軍。,23,26686,793
伊露恩之選,伊露恩之選會奉獻自己的一生給月之女神，藉此獲得她與星月之間的連結。他們的技能受到了星界力量的灌注，還能使用強大的月之魔法。,24,26685,793
傷害輸出,布萊恩會使用老拍檔從遠距離擊倒敵人。,29,24179,874
治療者,布萊恩會使用他的醫療補給與收集來的聖物來治療受傷的玩家。,30,24186,874
煞婪,煞婪精通於鮮血與暗影魔法，藉此弱化敵人和強化自己的能力。,31,26673,750
天啟騎士,天啟騎士召來傳奇四騎士的力量。他們可以召喚騎士來助戰，同時還能汲取死亡、飢寒與疾病的力量。,32,27222,750
死亡召喚者,化身成為死亡的使者。利用暗影之境強化的攻擊來打擊敵人的靈魂。,33,26672,750
魔痕,魔痕會接納心內的惡魔，藉此強化他們魔化火焰的爆炸性力量。,34,27066,854
奧達奇劫奪者,奧達奇戰士是終極的刀刃大師，只要有武器在手，那可是刀刀致命。同時，他們還能以強大的力量來吞噬靈魂和灌注武器。,35,27132,854
龍隊指揮官,龍隊指揮官是天生的領導者，並能激發周遭同袍的潛能。他們是半龍人挑選出來的將領，並能用強化法術來下達命令與召集部隊。,36,27067,872
塑火者,塑火者緊密地與雅立史卓莎同調，並專精於為盟友治療、復原與提供保護。他們還有獨特的技能來擴散、強化與操控龍焰。,37,27223,872
時光看守者,時光看守者可以操縱時間，讓他們參透未來以加快攻擊速度，或召喚回音以再次經歷過去的事件。專精於青銅龍魔法使得他們能看到未來的多種可能性，卻也會導致不穩定的結果。,38,26678,872
日怒,透過擁抱秘法烈焰，日怒法師能強化最為致命的法術，甚至還能召喚魔焰鳳凰來助戰。,39,27133,658
拋法者,掌握魔法不穩定的特性讓拋法者能分裂魔法力量，進而創造出強大且不穩定的全新效果。,40,27429,658
霜火,霜火法師掌控著看似不相容的元素力量。透過掌握相剋力量，他們可以強化元素攻擊，甚至可以將它們結合起來以獲得更多力量。,41,27017,658
哨兵,哨兵能從自然汲取力量，可透過技能來造成秘法傷害，還可召喚神秘貓頭鷹來對敵人造成毀滅性攻擊。,42,27529,774
獸群領袖,獸群領袖與動物夥伴們有著很深的連結與信任，讓這些獵人與動物們能在戰場上合作無間地進行獵殺。,43,27068,774
黑暗遊俠,當你擁抱憎恨、精通如何在暗影中伏擊，你就可以暗影強化的技能來打擊敵人。技能擊倒敵人之後會進一步強化你的黑暗能量。,44,26679,774
影潘,身為一名影潘，你會向先祖學習戰鬥技巧，並能屹立不搖地與敵人正面對決，來保護你的朋友與家人。等待時機、累積能量，接著再釋放一連串攻擊來壓制你的對手吧。,45,27070,781
和諧大師,和諧大師追求的是生理與體格的完美狀態，藉此引導出最純真的力量，並使他們能夠融入真氣的流動與自然循環的力量。,46,27745,781
天尊引導者,天尊引導者全心全意奉獻自己的一生來體現聖獸天尊的智慧，並駕馭他們的力量。引導者大師們能在頃刻之間引導出所有天尊的力量。,47,27069,781
