Name_lang,ID,SituationEnum,Flags,TransmogSituationGroupID,OrderIndex
所有專精,1,0,13,5,0
專精,2,1,19,6,0
所有地點,3,2,13,2,0
休息區域,4,3,1,3,0
世界,5,6,1,4,0
探究,6,7,1,4,1
房屋,7,4,1,3,1
角色選擇,8,5,1,3,2
地城,9,8,1,4,2
團隊副本,10,9,1,4,3
競技場,11,10,1,4,4
戰場,12,11,1,4,5
所有動作,13,12,13,7,0
未騎乘坐騎,14,13,1,8,0
游泳,15,14,1,8,1
陸行坐騎,16,15,1,8,2
飛行坐騎,17,16,1,8,3
所有裝備套裝,18,17,13,9,0
裝備套裝,19,18,17,10,0
所有種族形態,20,19,13,11,0
原始形態,21,20,17,12,0
非原始形態,22,21,17,12,1
所有天氣,32,22,13,14,0
晴天,33,23,1,15,0
雨天,34,24,1,15,1
雪天,35,25,1,15,2
沙塵暴,36,26,1,15,3
所有時段,37,27,13,16,0
早晨,38,28,1,17,0
中午,39,29,1,17,1
傍晚,40,30,1,17,2
夜晚,41,31,1,17,3
