Name_lang,ID,ParentUiMapID,Flags,System,Type,BountySetID,BountyDisplayLocation,TempVisibilityPlayerConditionID,VisibilityPlayerConditionID,HelpTextPosition,BkgAtlasID,AlternateUiMapGroup,ContentTuningID,AdventureMapTextureKitID,MapArtZoneTextPosition
杜洛塔,1,12,6,0,3,0,0,0,0,0,0,0,70,0,0
燃刃集會所,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0
提拉加德城堡,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0
提拉加德城堡,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0
骷髏石,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0
塵風洞穴,6,1,0,0,5,0,0,0,0,0,0,0,0,0,0
莫高雷,7,12,6,0,3,0,0,0,0,0,0,0,71,0,0
白鬃石,8,7,0,0,5,0,0,0,0,0,0,0,0,0,0
風險投資公司礦坑,9,7,0,0,5,0,0,0,0,0,0,0,0,0,0
北貧瘠之地,10,12,6,0,3,0,0,0,0,0,0,0,3,0,0
哀嚎洞穴,11,10,0,0,5,0,0,0,0,0,0,0,0,0,0
卡林多,12,947,0,0,2,0,0,0,0,0,0,0,2844,0,0
東部王國,13,947,0,0,2,0,0,0,0,0,0,0,2844,0,0
阿拉希高地,14,13,6,0,3,10,1,0,0,1,0,0,17,0,0
荒蕪之地,15,13,6,0,3,0,0,0,0,0,0,0,27,0,0
奧達曼,16,15,0,0,5,0,0,0,0,0,0,0,0,0,0
詛咒之地,17,13,6,0,3,0,0,0,0,0,0,0,34,0,0
提里斯法林地,18,13,6,0,3,0,0,0,0,0,0,0,75,0,0
血色修道院入口,19,18,0,0,5,0,0,0,0,0,0,0,0,0,0
守護者之憩,20,18,0,0,5,0,0,0,0,0,0,0,0,0,0
銀松森林,21,13,6,0,3,0,0,0,0,0,0,0,7,0,0
西瘟疫之地,22,13,6,0,3,0,0,0,0,0,0,0,25,0,0
東瘟疫之地,23,13,6,0,3,0,0,0,0,0,0,0,35,0,0
聖光之願禮拜堂,24,23,0,0,5,0,0,0,0,0,0,0,0,0,0
希爾斯布萊德丘陵,25,13,6,0,3,0,0,0,0,0,0,0,11,0,0
辛特蘭,26,13,6,0,3,0,0,0,0,0,0,0,20,0,0
丹莫洛,27,13,6,0,3,0,0,0,0,0,0,0,74,0,0
寒脊山小徑,28,27,0,0,5,0,0,0,0,0,0,0,0,0,0
灰色洞穴,29,27,0,0,5,0,0,0,0,0,0,0,0,0,0
新地精區,30,27,0,0,5,0,0,0,0,0,0,0,0,0,0
古博拉採掘場,31,27,0,0,5,0,0,0,0,0,0,0,0,0,0
灼熱峽谷,32,13,6,0,3,0,0,0,0,0,0,0,29,0,0
黑石山,33,36,0,0,5,0,0,0,0,0,0,0,0,0,0
黑石山,34,36,0,0,5,0,0,0,0,0,0,0,0,0,0
黑石山,35,32,0,0,5,0,0,0,0,0,0,0,0,0,0
燃燒平原,36,13,6,0,3,0,0,0,0,0,0,0,30,0,0
艾爾文森林,37,13,6,0,3,0,0,0,0,0,0,0,73,0,0
法戈第礦坑,38,37,0,0,5,0,0,0,0,0,0,0,0,0,0
法戈第礦坑,39,37,0,0,5,0,0,0,0,0,0,0,0,0,0
玉石礦坑,40,37,0,0,5,0,0,0,0,0,0,0,0,0,0
達拉然,41,42,0,0,5,0,0,0,0,0,0,0,0,0,0
逆風小徑,42,13,6,0,3,0,0,0,0,0,0,0,775,0,0
塔主地窖,43,42,0,0,5,0,0,0,0,0,0,0,0,0,0
塔主地窖,44,42,0,0,5,0,0,0,0,0,0,0,0,0,0
塔主地窖,45,42,0,0,5,0,0,0,0,0,0,0,0,0,0
卡拉贊地下墓穴,46,42,0,0,5,0,0,0,0,0,0,0,0,0,0
暮色森林,47,13,6,0,3,0,0,0,0,0,0,0,13,0,0
洛克莫丹,48,13,6,0,3,0,0,0,0,0,0,0,9,0,0
赤脊山,49,13,6,0,3,0,0,0,0,0,0,0,10,0,0
北荊棘谷,50,224,6,0,3,0,0,0,0,0,0,0,18,0,0
悲傷沼澤,51,13,6,0,3,0,0,0,0,0,0,0,31,0,0
西部荒野,52,13,6,0,3,0,0,0,0,0,0,0,6,0,0
金海岸礦坑,53,52,0,0,5,0,0,0,0,0,0,0,0,0,0
詹戈洛德礦坑,54,52,0,0,5,0,0,0,0,0,0,0,0,0,0
死亡礦坑,55,52,0,0,5,0,0,0,0,0,0,0,0,0,0
濕地,56,13,6,0,3,0,0,0,0,0,0,0,15,0,0
泰達希爾,57,12,6,0,3,0,0,0,68088,0,0,0,72,0,0
影絲洞,58,57,0,0,5,0,0,0,0,0,0,0,0,0,0
惡魔石,59,57,0,0,5,0,0,0,0,0,0,0,0,0,0
班奈希爾獸穴,60,57,0,0,5,0,0,0,0,0,0,0,0,0,0
班奈希爾獸穴,61,57,0,0,5,0,0,0,0,0,0,0,0,0,0
黑海岸,62,12,6,0,3,10,1,0,0,1,0,0,5,0,0
梣谷,63,12,6,0,3,0,0,0,0,0,0,0,12,0,0
千針石林,64,12,6,0,3,0,0,0,0,0,0,0,21,0,0
石爪山脈,65,12,6,0,3,0,0,0,0,0,0,0,14,0,0
淒涼之地,66,12,6,0,3,0,0,0,0,0,0,0,19,0,0
瑪拉頓,67,66,0,0,5,0,0,0,0,0,0,0,0,0,0
瑪拉頓,68,66,0,0,5,0,0,0,0,0,0,0,0,0,0
菲拉斯,69,12,6,0,3,0,0,0,0,0,0,0,22,0,0
塵泥沼澤,70,12,6,0,3,0,0,0,0,0,0,0,23,0,0
塔納利斯,71,12,6,0,3,0,0,0,0,0,0,0,28,0,0
腐化之巢,72,71,0,0,5,0,0,0,0,0,0,0,0,0,0
大裂口,73,71,0,0,5,0,0,0,0,0,0,0,0,0,0
時光之穴,74,71,0,0,5,0,0,0,0,0,0,0,0,0,0
時光之穴,75,71,0,0,5,0,0,0,0,0,0,0,0,0,0
艾薩拉,76,12,6,0,3,0,0,0,0,0,0,0,2,0,0
費伍德森林,77,12,6,0,3,0,0,0,0,0,0,0,26,0,0
安戈洛環形山,78,12,6,0,3,0,0,0,0,0,0,0,32,0,0
巨痕谷,79,78,0,0,5,0,0,0,0,0,0,0,0,0,0
月光林地,80,12,6,0,3,0,0,0,0,0,0,0,884,0,0
希利蘇斯,81,12,6,0,3,0,0,0,0,0,0,0,36,0,0
暮光小徑,82,81,0,0,5,0,0,0,0,0,0,0,0,0,0
冬泉谷,83,12,6,0,3,0,0,0,0,0,0,0,33,0,0
暴風城,84,13,7,0,3,0,0,0,0,0,0,0,0,0,0
奧格瑪,85,12,7,0,3,0,0,0,0,0,0,0,0,0,0
奧格瑪,86,85,512,0,6,0,0,0,0,0,0,0,0,0,0
鐵爐堡,87,13,6,0,3,0,0,0,0,0,0,0,0,0,0
雷霆崖,88,12,6,0,3,0,0,0,0,0,0,0,0,0,0
達納蘇斯,89,12,7,0,3,0,0,0,68088,0,0,0,0,0,0
幽暗城,90,13,6,0,3,0,0,0,62731,0,0,0,0,0,0
奧特蘭克山谷,91,25,0,0,6,0,0,0,0,0,0,0,0,0,0
戰歌峽谷,92,10,0,0,6,0,0,0,0,0,0,0,0,0,0
阿拉希盆地,93,14,0,0,6,0,0,0,0,0,0,0,0,0,0
永歌森林,94,13,6,0,3,0,0,0,0,0,0,0,77,0,0
鬼魂之地,95,13,6,0,3,0,0,0,0,0,0,0,8,0,0
阿曼尼地下墓穴,96,95,0,0,5,0,0,0,0,0,0,0,0,0,0
藍謎島,97,12,6,0,3,0,0,0,0,0,0,0,76,0,0
海潮洞穴,98,97,0,0,5,0,0,0,0,0,0,0,0,0,0
靜松要塞,99,97,0,0,5,0,0,0,0,0,0,0,0,0,0
地獄火半島,100,101,6,0,3,0,0,0,0,0,0,0,37,0,0
