Name_lang,Description_lang,Position[0],Position[1],Position[2],LookAt[0],LookAt[1],LookAt[2],ID,MapID,Fov,TimeOfDay,Flags,SoundAmbienceID,Quality,TextureKit,DefaultScenePriority
冒險者之憩,一片林中空地，還有一道美如畫的瀑布。還有比這裡更適合設立營地的地方嗎？,-2982.99,468.057,455.523,-2985.54,456.018,454.399,1,2703,65,-1,8,2731,1,5671,0
雍亞拉瞰臺,艾澤拉斯各地的冒險者很難找到比這裡的風景更優美的休息地點。,-3046.0244,496.39932,410.31583,-3038.1926,487.43228,409.8168,4,2834,65,-1,8,2904,1,5672,0
邪教泊岸,在這個洞穴裡，奔流的水聲掩蓋了不時傳出的邪教吟唱聲。,181.91145,2500.3923,94.23643,203.66841,2493.2517,92.748405,5,2837,65,-1,0,2905,3,5673,0
芙林之泉,芙林的土靈很樂意接待如此聲名遠播的冒險者。不過之後要自己打掃。,-2808.0034,395.2014,81.54124,-2822.783,388.33853,81.51475,7,2847,65,-1,0,2902,3,5674,0
加樂宮宏偉展示廳,雖然加里維克斯很樂意將幽坑城的價值徹底榨乾，但他確實擁有不錯的品味！,431.86978,-802.94617,27.449316,398.82986,-802.8143,27.221827,25,2851,65,-1,0,2903,3,5676,0
從最愛隨機選擇,每次登入時選擇一個你最愛的營區。若你沒有最愛的營區，則會從你的整個收藏中選擇。,0,0,0,0,0,0,29,2703,90,0,25,0,1,5675,1
冒險者之憩,Chair Test - A forest glade with a picturesque waterfall. What better place to set up camp?,-2982.99,468.057,455.523,-2985.54,456.018,454.399,99,2703,65,-1,7,2731,1,5671,1
Test Example from Scratch,Test Description,-2967.434,418.9375,85.79015,-2967.0469,408.52084,85.22732,110,2847,65,0,7,0,5,0,0
冒險者之憩,測試中,-2982.99,343.37,129.736,-2950.4392,376.76215,121.02705,111,2847,65,-1,7,2731,1,5671,1
被吞噬者的命運,塔札維許的帷幕市集有許多設施、香氣十足的小吃、最新的以太族塑形，以及爆炸性的景致。,-669,-160,536.5,-652.51,-122.109,537.3,119,2954,65,-1,0,3130,3,5743,0
