ID,QuestTitle_lang,BulletText_lang,UniqueBitFlag,ConditionID,FiltActiveQuest,FiltClasses,FiltCompletedQuestLogic,FiltMaxFactionID,FiltMaxFactionValue,FiltMinFactionID,FiltMinFactionValue,FiltMinSkillID,FiltMinSkillValue,FiltNonActiveQuest,BreadCrumbID,StartItem,WorldStateExpressionID,QuestInfoID,ContentTuningID,CovenantID,Field_9_0_2_36206_022,Flags[0],Flags[1],Flags[2],FiltCompletedQuest[0],FiltCompletedQuest[1],FiltCompletedQuest[2],FiltRaceMasks[0],FiltRaceMasks[1]
11354,WANTED: Nazan's Riding Crop,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4824,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11362,WANTED: Keli'dan's Feathered Stave,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4825,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11363,WANTED: Bladefist's Seal,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4826,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11368,WANTED: The Heart of Quagmirran,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4827,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11369,WANTED: A Black Stalker Egg,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4828,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11370,WANTED: The Warlord's Treatise,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4829,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11371,WANTED: Coilfang Myrmidons,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4817,81,233,0,2,4104,0,268435968,0,0,0,-1,-1
11372,WANTED: The Headfeathers of Ikiss,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4830,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11373,WANTED: Shaffar's Wondrous Pendant,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4831,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11374,WANTED: The Exarch's Soul Gem,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4832,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11375,WANTED: Murmur's Whisper,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4833,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11376,WANTED: Malicious Instructors,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4818,81,225,0,2,4104,0,268435968,0,0,0,-1,-1
11378,WANTED: The Epoch Hunter's Head,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4834,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11382,WANTED: Aeonus's Hourglass,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4835,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11383,WANTED: Rift Lords,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4819,81,227,0,2,4104,0,268435968,0,0,0,-1,-1
11384,WANTED: A Warp Splinter Clipping,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4836,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11385,WANTED: Sunseeker Channelers,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4820,81,229,0,2,4104,0,268435968,0,0,0,-1,-1
11386,WANTED: Pathaleon's Projector,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4837,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
11387,WANTED: Tempest-Forge Destroyers,,5359,0,0,-1,0,0,0,0,0,0,0,0,0,0,4821,81,230,0,2,4104,0,268435968,0,0,0,-1,-1
11388,WANTED: The Scroll of Skyriss,,5351,0,0,-1,0,0,0,0,0,0,0,0,0,0,4838,85,820,0,2,4104,0,268435968,0,0,0,-1,-1
