ID,Tag,Region_ID,Raidorigin,Region_group_mask,Challenge_origin,Cfg_TimeEventRegionGroupID
1,US,1,1127228400,1,1135695600,1
2,KR,2,1135810800,2,1135810800,2
3,EU,3,1135742400,3,1135742400,3
4,TW,4,1135810800,4,1135810800,4
5,CN,5,1135810800,5,1135810800,5
10,PV,10,1127232000,6,1135695600,1
11,CN,11,1135818000,5,1135810800,5
12,CN,12,1135818000,5,1135810800,5
13,TW,13,1135818000,4,1135810800,4
21,TR,21,1127232000,6,1135695600,9
22,TR,22,1127232000,6,1135695600,2
23,TR,23,1127232000,6,1135695600,10
24,TR,24,1127232000,6,1135782000,4
25,TR,25,1127232000,6,1135695600,5
26,US,26,1127232000,6,1135695600,1
30,US,30,1127232000,6,1135695600,1
31,US,31,1127232000,6,1135695600,1
33,EU,33,1135753200,3,1135753200,3
34,US,34,1127232000,1,1135695600,18
50,XX,50,1127228400,7,1135695600,8
51,XX,51,1127232000,8,1135695600,12
60,XX,60,1135695600,8,1135695600,12
61,CN,61,1135818000,8,1135810800,5
62,CN,62,1135818000,6,1135810800,5
63,XX,63,1127232000,8,1135695600,1
65,XX,65,1127494800,10,1127494800,20
66,XX,66,1127232000,6,1135695600,1
99,XX,99,1127232000,0,1135695600,1
101,QA,101,1127232000,0,1135695600,1
147,XX,147,1127232000,8,1135695600,12
209,BL,209,1135818000,11,1135695600,1
221,TR,221,1127232000,5,1135695600,5
928,AT,255,1127232000,7,1135695600,12
1039,XX,59,1135695600,8,1135695600,13
1052,EU,53,1135753200,8,1135695600,3
1072,QA,224,1127228400,9,1135695600,1
1076,QA,223,1127228400,9,1135695600,1
1081,QA,225,1127228400,9,1135695600,1
1085,QA,226,1127228400,9,1135695600,1
1089,US,41,1127228400,1,1135695600,1
1090,KR,42,1135810800,2,1135810800,2
1091,EU,43,1135742400,3,1135742400,3
1092,TW,44,1135810800,4,1135810800,4
1093,CN,45,1135810800,5,1135810800,5
1122,XX,67,1127232000,6,1135695600,21
1127,QA,218,1135753200,2,1135753200,16
1136,QA,219,1135810800,4,1135810800,17
1138,QA,227,1135810800,5,1135695600,15
1142,QA,228,1127242800,10,1135710000,11
1143,XX,229,1127228400,10,1135695600,1
1144,XX,230,1127242800,10,1135710000,11
1148,US,231,1127228400,9,1135695600,1
1152,US,112,1127232000,9,1135695600,1
1153,TR,71,1583946000,6,1583946000,9
1154,TR,72,1583946000,6,1583946000,2
1155,TR,73,1583946000,6,1583946000,10
1156,TR,74,1583946000,6,1583946000,4
1157,TR,75,1583852400,6,1583852400,5
1159,US,76,1583946000,6,1583946000,1
1160,XX,70,1127232000,8,1135695600,12
1161,AT,254,1127232000,7,1135695600,12
1162,US,113,1127232000,9,1135695600,1
1163,QA,232,1127232000,1,1135695600,11
1164,QA,233,1135753200,10,1135695600,11
1165,QA,234,1135638000,10,1135695600,15
1166,QA,235,1127232000,1,1135695600,16
1167,QA,236,1135818000,4,1135695600,17
1168,XX,40,1127232000,7,1135695600,8
1169,CN,39,1135638000,6,1135695600,5
1170,XX,152,1127232000,8,1135695600,1
1171,US,1171,1127232000,9,1135695600,1
1172,US,114,1127232000,9,1135695600,6
1173,XX,80,1127232000,7,1135695600,8
1174,US,81,1127228400,1,1135695600,1
1175,KR,82,1135810800,2,1135810800,2
1176,EU,83,1135742400,3,1135742400,3
1177,TW,84,1135810800,4,1135810800,4
1178,CN,85,1135810800,5,1135810800,5
1179,US,91,1127232000,1,1135695600,1
1180,KR,92,1135818000,2,1135810800,2
1181,EU,93,1135753200,3,1135753200,3
1182,TW,94,1135818000,4,1135810800,4
1183,CN,95,1135638000,5,1135810800,5
1184,QA,237,1127232000,10,1135695600,11
1185,QA,238,1127232000,10,1135695600,11
1186,US,115,1127228400,9,1135695600,6
1187,XX,54,1127232000,8,1135695600,11
1188,QA,155,1127228400,1,0,0
1189,QA,156,1127228400,1,0,0
1190,US,48,1127228400,9,1135695600,6
1191,US,116,1127232000,9,1135695600,1
1192,US,35,1127228400,6,1135695600,1
1193,KR,36,1135810800,6,1135810800,2
1194,EU,37,1135753200,6,1135753200,3
1195,TW,38,1135810800,6,1135810800,4
1196,US,117,1127228400,9,1135695600,6
1197,US,3435,112723200,9,1135695600,1
1198,QA,239,1127228400,10,1127228400,11
1199,QA,240,1127242800,10,1135710000,11
1200,QA,241,1127228400,10,1127228400,11
1201,XX,242,1127242800,10,1135710000,11
1202,XX,243,1127228400,10,1135695600,11
1203,US,49,1127228400,9,1135695600,6
1204,US,118,1127232000,9,1135206000,6
1205,XX,55,1127232000,8,1135695600,11
1206,XX,56,1127232000,8,1135695600,5
1207,QA,244,1127228400,10,1127228400,11
1208,QA,253,1127228400,9,0,6
1210,US,252,1127228400,9,1135695600,6
1212,US,120,1127228400,9,1135695600,6
1213,US,119,1127228400,9,1135695600,6
1214,XX,69,1135695600,6,1135695600,22
1215,EU,122,112723200,3,1135695600,1
1216,XX,57,1127228400,7,1135695600,8
1217,US,157,1127228400,9,1135695600,1
1218,US,123,1127232000,9,1135206000,6
1219,US,1219,1127232000,9,1135695600,1
1220,US,124,1127228400,9,1135695600,6
1221,US,125,1127228400,9,1135695600,6
1222,US,102,1127228400,9,1135695600,6
1223,US,137,1127228400,9,1135695600,6
1224,US,161,1127232000,1,1135695600,1
1225,KR,162,1135818000,2,1135810800,2
1226,EU,163,1135753200,3,1135753200,3
1227,TW,164,1135818000,4,1135810800,4
1228,CN,165,1135638000,5,1135810800,5
1234,US,158,1127228400,9,1135695600,6
1235,US,1235,1127232000,9,1135695600,1
1236,QA,245,1127242800,10,1135710000,11
1237,WB,251,1127232000,7,0,12
1238,US,126,1127228400,9,1135695600,6
1239,US,1222,1127228400,9,1135695600,6
1241,US,127,1135753200,9,1135695600,6
1242,CN,159,1135810800,5,1135810800,15
1243,CN,160,1135810800,5,1135810800,8
1244,US,184,1127228400,9,1135695600,6
1246,US,153,1127228400,9,1135695600,1
1247,US,191,1127228400,1,1135695600,1
1248,XX,190,1127232000,7,1135695600,8
1249,KR,192,1135810800,2,1135810800,2
1250,EU,193,1135742400,3,1135742400,3
1251,TW,194,1135810800,4,1135810800,4
1252,CN,195,1135810800,5,1135810800,5
1253,US,256,1127228400,9,1135695600,6
1254,US,1254,1127232000,9,1135206000,6
1256,US,133,1127228400,9,1135206000,6
1257,QA,246,1127228400,9,0,6
1258,US,1258,1127232000,9,1135206000,6
1260,US,1260,1127232000,9,0,0
1261,XX,166,1127232000,8,1135695600,11
1262,XX,167,1127232000,10,1135695600,11
1263,XX,168,1127232000,8,1135695600,11
1264,XX,169,1127232000,8,1135695600,11
1265,XX,170,1127232000,8,1135695600,11
1266,XX,171,1127232000,8,1135695600,11
1267,US,96,1127228400,9,1135695600,6
1268,AT,250,1127232000,7,1135695600,12
1269,US,128,1127228400,9,1135695600,6
1270,US,129,1127228400,9,1135695600,6
1271,US,1271,1127232000,9,1135206000,6
1273,CN,172,1135810800,5,1135810800,15
1274,QA,247,1127242800,10,1135710000,11
1275,QA,248,1127232000,10,1135695600,11
1276,US,257,1127228400,9,1135695600,6
1277,CN,196,1135810800,5,1135810800,5
1278,CN,173,1135810800,5,1135810800,15
1279,CN,174,1135810800,5,1135810800,15
1280,CN,175,1135810800,5,1135810800,15
1281,CN,179,1135810800,5,1135810800,15
1282,CN,1282,1127228400,5,1135695600,6
1283,CN,1283,1127228400,5,1135695600,6
1284,US,356,1127228400,9,1135695600,1
1285,QA,249,1127232000,10,1135695600,11
1286,US,888,1127228400,9,1135695600,6
1287,US,1287,1127228400,9,1135695600,6
1288,CN,176,1135810800,5,1135810800,15
1289,US,131,1127232000,9,1135695600,1
1290,CN,177,1135810800,5,1135810800,15
1291,CN,178,1135810800,5,1135810800,15
1292,CN,180,1135810800,5,1135810800,15
1293,CN,181,1135810800,5,1135810800,15
1294,CN,182,1135810800,5,1135810800,15
1295,US,667,1127232000,9,1135206000,6
1296,QA,258,1127232000,10,1135695600,1
1297,US,188,1127228400,9,1135695600,6
1298,US,1298,1127228400,9,1135695600,6
1299,US,1337,1127228400,9,0,1
1300,XX,68,1127232000,6,1135695600,21
1301,QA,183,1127232000,10,1135695600,11
